m_amps,volts
0.0244140625,8.0825
0.048828125,8.08375
0.048828125,8.085
0.0,8.08375
203.07617187500003,6.40625
90.07568359375001,6.99
84.38720703125001,7.01375
89.03808593750001,6.9725
87.02392578125001,6.95125
78.2470703125,7.01625
0.0244140625,7.8
0.0244140625,7.9375
0.048828125,7.9625
0.048828125,7.9775
0.0244140625,7.9875
0.0244140625,7.995
0.048828125,8.00125
0.048828125,8.00625
0.048828125,8.01125
0.0244140625,8.01625
0.0244140625,8.01875
0.048828125,8.0225
0.048828125,8.025
0.0,8.02875
0.048828125,8.03
0.048828125,8.03125
0.0244140625,8.03375
0.048828125,8.0375
0.0244140625,8.03875
0.0244140625,8.03875
0.0244140625,8.04125
0.0244140625,8.0425
0.048828125,8.04375
0.0244140625,8.0475
0.0244140625,8.0475
0.048828125,8.0475
0.048828125,8.04875
0.048828125,8.05
0.0244140625,8.05125
0.0244140625,8.05125
0.048828125,8.05375
0.0244140625,8.055
0.048828125,8.055
0.048828125,8.05625
0.048828125,8.0575
0.0244140625,8.05625
0.048828125,8.05875
0.0244140625,8.05875
0.0244140625,8.06
0.048828125,8.06
0.048828125,8.0625
0.048828125,8.06125
0.048828125,8.0625
0.0244140625,8.0625
0.0244140625,8.06375
0.0244140625,8.06375
0.0244140625,8.06625
0.048828125,8.065
0.0244140625,8.06625
0.0244140625,8.06625
0.0244140625,8.06625
0.08544921875000001,8.06625
