m_amps,volts
0.0244140625,0.0
0.0244140625,0.00125
0.0244140625,8.0575
0.048828125,8.05875
0.08544921875000001,8.0575
0.0244140625,8.05875
0.048828125,8.0575
0.0244140625,8.05875
0.0244140625,8.06
0.0244140625,8.06
0.0244140625,8.06
0.0244140625,8.06125
0.0244140625,8.06
0.0244140625,8.06125
0.048828125,8.06125
0.048828125,8.06
0.0244140625,8.06125
0.048828125,8.0625
0.048828125,8.0625
0.0244140625,8.0625
0.0244140625,8.0625
0.048828125,8.06375
0.0244140625,8.06375
0.0244140625,8.0625
0.048828125,8.06375
0.048828125,8.06375
0.0244140625,8.06375
0.0244140625,8.065
0.048828125,8.065
0.0244140625,8.065
0.0244140625,8.06625
0.048828125,8.065
0.048828125,8.06375
0.0244140625,8.065
0.0244140625,8.06625
0.048828125,8.06625
0.0244140625,8.0675
0.0244140625,8.0675
0.048828125,8.06625
0.048828125,8.0675
0.0244140625,8.0675
0.0244140625,8.06875
0.0244140625,8.0675
0.0244140625,8.06875
0.048828125,8.06875
0.0244140625,8.06875
0.0244140625,8.07
0.0244140625,8.06875
0.0244140625,8.07
0.0244140625,8.07125
0.0244140625,8.06875
0.048828125,8.07
0.0244140625,8.07
0.048828125,8.0725
0.0244140625,8.07
0.048828125,8.07125
0.048828125,8.07125
0.0244140625,8.0725
0.0244140625,8.0725
0.0244140625,8.0725
0.048828125,8.07125
0.048828125,8.0725
0.0244140625,8.07375
0.048828125,8.075
0.048828125,8.07375
0.048828125,8.07375
96.15478515625,7.1275
0.0244140625,8.03
0.0244140625,8.04875
0.048828125,8.055
0.048828125,8.0575
0.0244140625,8.06125
0.0244140625,8.0625
0.048828125,8.06375
0.0244140625,8.06625
0.048828125,8.06625
0.0244140625,8.0675
0.048828125,8.06875
0.0244140625,8.06875
0.048828125,8.06875
0.048828125,8.07
0.048828125,8.07
0.048828125,8.07125
0.0244140625,8.0725
0.048828125,8.0725
0.0244140625,8.0725
0.0244140625,8.0725
0.0244140625,8.07375
0.048828125,8.075
0.0244140625,8.075
0.0244140625,8.07375
0.048828125,8.07625
0.0244140625,8.07625
0.0244140625,8.07625
0.048828125,8.0775
0.048828125,8.07625
0.0244140625,8.0775
0.048828125,8.07625
0.048828125,8.0775
0.0244140625,8.07875
0.048828125,8.0775
0.0244140625,8.07875
0.08544921875000001,8.07875
0.048828125,8.07875
0.048828125,8.08
0.048828125,8.08125
0.048828125,8.08125
0.0244140625,8.08
0.048828125,8.08125
0.048828125,8.08125
0.0244140625,8.0825
0.0244140625,8.0825
0.0244140625,8.0825
0.0244140625,8.08125
0.0244140625,8.0825
0.048828125,8.08375
0.048828125,8.08375
0.048828125,8.085
0.048828125,8.08375
0.0244140625,8.085
0.048828125,8.085
0.0244140625,8.085
0.0244140625,8.08625
