time(s),mvs
0.0,-108.375
0.201,-108.75
0.401,-109.0
0.602,-109.625
0.803,-109.625
1.003,194.75
1.204,220.0
1.405,206.25
1.605,187.0
1.806,176.375
2.006,167.25
2.207,159.0
2.408,152.125
2.608,145.0
2.809,145.5
3.01,141.375
3.21,136.25
3.411,132.625
3.612,131.25
3.812,130.125
4.013,129.875
4.214,129.5
4.414,129.25
4.615,128.375
4.816,126.75
5.017,125.125
5.217,122.625
5.418,119.875
5.619,117.375
5.82,115.375
6.02,113.5
6.221,111.5
6.422,109.25
6.623,107.375
6.823,105.75
7.024,104.125
7.225,102.5
7.426,100.75
7.627,98.75
7.827,97.125
8.028,95.375
8.229,94.125
8.43,92.125
8.63,90.625
8.831,88.75
9.032,87.125
9.233,85.375
9.433,83.875
9.634,82.125
9.835,80.5
10.036,79.0
10.236,77.125
10.437,75.375
10.638,73.625
10.839,72.0
11.039,70.375
11.24,68.375
11.441,66.625
11.642,65.0
11.842,63.5
12.043,61.875
12.244,60.125
12.445,58.5
12.645,56.75
12.846,55.25
13.047,53.5
13.248,52.0
13.448,50.125
13.649,48.375
13.85,46.75
14.05,45.0
14.251,43.625
14.452,41.625
14.652,39.875
14.853,38.25
15.054,36.75
15.254,34.875
15.455,33.375
15.656,31.625
15.856,30.0
16.057,28.0
16.258,26.5
16.458,24.75
16.659,23.0
16.86,21.375
17.06,19.5
17.261,18.0
17.461,16.375
17.662,14.625
17.863,13.0
18.063,11.0
18.264,9.625
18.465,7.75
18.665,6.25
18.866,4.375
19.067,2.625
19.267,1.25
19.468,-0.5
19.669,-2.0
19.87,-3.625
20.07,-5.375
20.271,-6.75
20.472,-8.625
20.672,-10.125
20.873,-11.625
21.074,-13.25
21.274,-15.0
21.475,-16.125
21.676,-17.75
21.876,-19.25
22.077,-20.75
22.278,-22.0
22.478,-23.5
22.679,-25.0
22.88,-26.5
23.08,-28.0
23.281,-29.25
23.482,-30.625
23.682,-31.875
23.883,-33.5
24.084,-34.75
24.284,-36.0
24.485,-37.25
24.686,-38.625
24.886,-39.875
25.087,-41.0
25.288,-42.5
25.488,-43.625
25.689,-44.875
25.89,-45.875
26.091,-47.25
26.291,-48.375
26.492,-49.625
26.693,-50.875
26.893,-51.875
27.094,-52.75
27.295,-53.875
27.495,-55.25
27.696,-56.25
27.897,-57.25
28.097,-58.5
28.298,-59.625
28.499,-60.5
28.699,-61.375
28.9,-62.375
29.101,-63.625
29.301,-64.375
29.502,-65.375
29.703,-66.25
29.903,-67.375
30.104,-68.0
30.305,-69.125
30.505,-70.125
30.706,-70.875
30.907,-71.625
31.107,-72.75
31.308,-73.25
31.509,-74.125
31.709,-75.0
31.91,-75.625
32.111,-76.5
32.311,-77.125
32.512,-77.875
32.713,-78.875
32.914,-79.375
33.114,-80.375
33.315,-80.75
33.516,-81.75
33.716,-82.375
33.917,-82.875
34.118,-83.5
34.318,-84.125
34.519,-84.625
34.72,-85.375
34.92,-85.875
35.121,-86.625
35.322,-86.75
35.522,-87.5
35.723,-88.0
35.924,-88.5
36.124,-89.125
36.325,-89.5
36.526,-90.25
36.726,-90.625
36.927,-91.125
37.128,-91.625
37.328,-92.0
37.529,-92.5
37.73,-93.0
37.93,-93.375
38.131,-93.875
38.332,-94.0
38.532,-94.625
38.733,-95.125
38.934,-95.125
39.134,-95.625
39.335,-96.25
39.536,-96.375
39.736,-96.5
39.937,-97.125
40.138,-97.375
40.339,-97.5
40.539,-98.0
40.74,-98.125
40.941,-98.5
41.141,-99.0
41.342,-99.0
41.543,-99.25
41.743,-99.625
41.944,-99.875
42.145,-100.0
42.345,-100.25
42.546,-100.5
42.747,-100.75
42.947,-101.0
43.148,-101.25
43.349,-101.5
43.549,-101.625
43.75,-101.875
43.951,-102.0
44.151,-102.125
44.352,-102.5
44.553,-102.5
44.753,-102.75
44.954,-103.125
45.155,-103.125
45.355,-103.375
45.556,-103.375
45.757,-103.5
45.957,-103.75
46.158,-103.875
46.359,-104.125
46.559,-104.0
46.76,-104.375
46.961,-104.5
47.161,-104.5
47.362,-104.875
47.563,-105.0
47.763,-105.0
47.964,-105.25
48.165,-105.125
48.366,-105.375
48.566,-105.125
48.767,-105.625
48.968,-105.625
49.169,-105.5
49.369,-105.75
49.57,-105.875
49.771,-106.0
49.972,-106.25
50.172,-106.25
50.373,-106.625
50.574,-106.375
50.775,-106.25
50.975,-106.75
51.176,-106.875
51.377,-106.75
51.577,-107.0
51.778,-106.875
51.979,-107.0
52.179,-107.125
52.38,-107.0
52.581,-107.125
52.781,-107.375
52.982,-107.25
53.183,-107.375
53.384,-107.625
53.584,-108.0
53.785,-107.75
53.986,-107.5
54.186,-107.625
54.387,-107.875
54.588,-107.875
54.788,-108.0
54.989,-108.125
55.19,-108.375
55.39,-108.25
55.591,-108.125
55.792,-108.25
55.992,-108.125
56.193,-108.375
56.394,-108.375
56.595,-108.125
56.795,-108.5
56.996,-108.625
57.197,-108.625
57.397,-108.75
57.598,-108.625
57.799,-108.75
57.999,-108.75
58.2,-108.75
58.401,-108.875
58.601,-108.875
58.802,-109.0
59.003,-109.125
59.203,-109.125
59.404,-109.0
59.605,-109.0
59.805,-109.375
60.006,-109.25
60.207,-109.25
60.407,-109.375
60.608,-109.375
60.809,-109.5
61.009,-109.5
61.21,-109.625
61.411,-109.5
61.611,-109.5
61.812,-109.5
62.013,-109.75
62.213,-109.5
62.414,-109.625
62.615,-109.75
