time(s),mvs
0.000,-94.25000
0.101,-94.00000
0.152,-94.00000
0.203,-94.12500
0.253,-94.12500
0.304,-94.37500
0.360,-94.12500
0.411,-94.25000
0.461,-94.00000
0.512,-94.00000
0.564,-94.12500
0.614,-94.12500
0.665,-94.37500
0.716,-94.25000
0.767,-94.37500
0.820,-94.37500
0.870,-94.12500
0.921,-94.12500
0.972,-94.12500
1.023,-94.12500
1.074,-94.25000
1.124,-94.12500
1.175,-94.37500
1.226,-94.37500
1.277,-94.50000
1.327,-94.25000
1.378,-94.37500
1.429,-94.25000
1.479,-93.75000
1.530,-91.87500
1.581,-90.12500
1.632,-88.87500
1.682,-88.00000
1.733,-83.62500
1.784,-60.62500
1.835,-44.12500
1.886,-33.62500
1.937,-20.62500
1.988,-9.12500
2.039,0.00000
2.089,7.12500
2.140,11.00000
2.191,14.75000
2.242,17.50000
2.292,20.12500
2.343,22.37500
2.394,25.00000
2.445,26.75000
2.495,29.12500
2.546,31.00000
2.597,33.00000
2.647,35.62500
2.700,39.25000
2.753,41.87500
2.805,44.50000
2.855,46.25000
2.906,48.62500
2.957,50.25000
3.008,52.37500
3.058,54.12500
3.110,55.75000
3.161,57.62500
3.211,59.37500
3.263,60.87500
3.313,62.75000
3.364,64.37500
3.415,66.37500
3.466,68.12500
3.517,69.62500
3.570,71.00000
3.620,72.37500
3.671,73.37500
3.722,74.62500
3.773,75.37500
3.823,76.62500
3.874,77.25000
3.925,78.00000
3.976,78.37500
4.026,78.75000
4.077,79.25000
4.128,79.62500
4.178,79.75000
4.229,80.00000
4.280,80.25000
4.330,80.25000
4.381,80.62500
4.432,80.62500
4.485,80.62500
4.536,80.87500
4.587,80.75000
4.638,80.75000
4.688,80.62500
4.739,80.50000
4.790,80.50000
4.841,80.50000
4.891,80.62500
4.942,80.62500
4.993,80.37500
5.044,80.37500
5.095,79.87500
5.146,79.87500
5.197,79.75000
5.248,79.50000
5.299,79.37500
5.349,79.12500
5.400,79.00000
5.452,78.87500
5.503,78.50000
5.554,78.25000
5.604,78.00000
5.655,77.37500
5.706,77.25000
5.757,77.00000
5.808,76.62500
5.858,76.37500
5.909,76.12500
5.960,75.87500
6.010,75.50000
6.061,75.00000
6.112,74.75000
6.162,74.50000
6.213,74.00000
6.264,73.62500
6.315,73.50000
6.366,73.12500
6.419,73.00000
6.469,72.62500
6.520,72.25000
6.572,71.75000
6.622,71.50000
6.673,71.25000
6.724,70.87500
6.775,70.75000
6.826,70.50000
6.876,70.37500
6.928,70.25000
6.979,70.00000
7.029,69.50000
7.082,69.12500
7.133,68.87500
7.185,68.75000
7.236,68.50000
7.286,68.12500
7.337,68.00000
7.388,67.75000
7.439,67.25000
7.489,67.25000
7.540,66.62500
7.591,66.37500
7.642,66.00000
7.692,65.62500
7.743,65.37500
7.794,65.12500
7.845,64.75000
7.896,64.62500
7.948,64.12500
7.999,63.87500
8.051,63.50000
8.102,63.25000
8.153,62.87500
8.204,62.62500
8.254,62.50000
8.305,62.25000
8.356,61.75000
8.407,61.50000
8.458,61.00000
8.508,60.75000
8.559,60.25000
8.610,60.00000
8.661,59.87500
8.711,59.50000
8.762,59.12500
8.813,58.87500
8.864,58.50000
8.915,57.87500
8.966,57.50000
9.017,56.87500
9.069,56.50000
9.119,56.12500
9.170,55.75000
9.221,55.62500
9.271,55.12500
9.322,54.50000
9.373,54.37500
9.424,53.62500
9.475,53.37500
9.526,52.75000
9.577,52.25000
9.628,52.00000
9.678,51.62500
9.729,51.37500
9.780,50.87500
9.831,50.37500
9.884,50.00000
9.934,49.37500
9.985,48.87500
10.036,48.50000
10.087,48.12500
10.137,47.62500
10.188,47.12500
10.239,46.62500
10.290,46.37500
10.341,45.87500
10.392,45.37500
10.443,45.00000
10.496,44.37500
10.546,43.87500
10.597,43.37500
10.650,43.12500
10.701,42.62500
10.751,42.00000
10.802,41.62500
10.853,41.00000
10.904,40.62500
10.954,40.00000
11.005,39.50000
11.056,39.12500
11.107,38.75000
11.157,38.25000
11.208,38.75000
11.259,38.25000
11.310,36.75000
11.361,36.25000
11.412,36.00000
11.463,35.50000
11.514,34.75000
11.567,34.62500
11.618,34.12500
11.669,33.37500
11.720,33.00000
11.771,32.37500
11.822,32.00000
11.873,31.50000
11.923,31.25000
11.974,30.75000
12.025,30.12500
12.076,29.62500
12.127,29.12500
12.177,28.62500
12.228,28.12500
12.279,27.62500
12.330,27.37500
12.383,26.75000
12.433,26.25000
12.484,25.87500
12.535,25.12500
12.586,24.75000
12.636,24.25000
12.687,23.87500
12.738,23.37500
12.789,22.87500
12.839,22.50000
12.890,22.00000
12.941,21.50000
12.992,21.00000
13.042,20.62500
13.093,19.87500
13.144,19.37500
13.195,18.87500
13.246,18.50000
13.296,18.00000
13.349,17.50000
13.400,17.25000
13.451,17.00000
13.502,16.12500
13.554,15.50000
13.606,15.12500
13.657,14.62500
13.708,14.25000
13.758,13.87500
13.809,13.50000
13.860,13.00000
13.911,12.37500
13.964,11.87500
14.014,11.50000
14.065,11.00000
14.116,10.50000
14.167,10.12500
14.217,9.75000
14.269,9.25000
14.319,8.75000
14.371,8.12500
14.422,7.87500
14.473,7.50000
14.523,6.75000
14.574,6.50000
14.625,6.00000
14.676,5.50000
14.727,5.12500
14.777,4.75000
14.828,4.25000
14.880,3.75000
14.931,3.25000
14.982,3.00000
15.033,2.37500
15.083,2.00000
15.134,1.62500
15.185,1.00000
15.236,0.87500
15.286,0.50000
15.337,-0.25000
15.388,-0.50000
15.439,-1.00000
15.489,-1.50000
15.540,-1.87500
15.591,-2.37500
15.641,-2.75000
15.695,-3.12500
15.747,-3.37500
15.798,-3.87500
15.848,-4.50000
15.899,-4.87500
15.950,-5.37500
16.001,-5.75000
16.052,-6.12500
16.103,-6.62500
16.153,-6.87500
16.204,-7.25000
16.255,-7.50000
16.306,-7.87500
16.356,-8.25000
16.407,-8.87500
16.458,-9.37500
16.510,-9.75000
16.561,-10.12500
16.614,-10.37500
16.665,-10.75000
16.716,-11.12500
16.767,-11.62500
16.817,-12.12500
16.868,-12.50000
16.919,-12.87500
16.972,-13.12500
17.023,-13.50000
17.074,-13.87500
17.125,-14.12500
17.175,-14.62500
17.226,-15.12500
17.279,-15.37500
17.330,-15.75000
17.381,-16.12500
17.432,-16.50000
17.482,-16.75000
17.533,-17.00000
17.584,-17.62500
17.635,-17.87500
17.686,-18.50000
17.736,-18.75000
17.787,-19.12500
17.838,-19.50000
17.888,-19.75000
17.939,-20.00000
17.990,-20.37500
18.041,-20.87500
18.091,-20.75000
18.142,-21.50000
18.193,-21.75000
18.245,-22.25000
18.296,-22.50000
18.347,-22.87500
18.398,-23.12500
18.448,-23.37500
18.500,-23.62500
18.550,-24.25000
18.601,-24.50000
18.652,-24.87500
18.703,-25.25000
18.753,-25.50000
18.804,-26.00000
18.855,-26.25000
18.906,-26.37500
18.958,-26.75000
19.009,-27.00000
19.060,-27.37500
19.111,-27.75000
19.162,-28.25000
19.213,-28.50000
19.264,-28.75000
19.315,-29.00000
19.365,-29.37500
19.416,-29.50000
19.467,-29.87500
19.518,-30.25000
19.568,-30.37500
19.619,-30.87500
19.670,-31.25000
19.720,-31.62500
19.771,-31.75000
19.822,-32.00000
19.873,-32.37500
19.924,-32.75000
19.974,-32.75000
20.025,-33.00000
20.078,-33.25000
20.128,-33.75000
20.180,-34.12500
20.230,-34.50000
20.281,-34.75000
20.332,-34.87500
20.383,-35.25000
20.434,-35.50000
20.484,-35.50000
20.535,-35.75000
20.586,-36.00000
20.637,-36.50000
20.687,-36.75000
20.738,-37.00000
20.789,-37.50000
20.840,-37.62500
20.891,-37.87500
20.941,-38.25000
20.992,-38.50000
21.045,-38.62500
21.095,-38.87500
21.146,-39.00000
21.197,-39.50000
21.248,-39.75000
21.299,-40.00000
21.349,-40.37500
21.400,-40.50000
21.451,-40.62500
21.501,-41.00000
21.552,-41.12500
21.603,-41.37500
21.656,-41.75000
21.706,-41.87500
21.760,-42.25000
21.810,-42.50000
21.861,-42.87500
21.912,-42.75000
21.963,-43.12500
22.013,-43.25000
22.064,-43.37500
22.115,-43.62500
22.166,-44.12500
22.220,-44.50000
22.270,-44.62500
22.321,-44.87500
22.372,-45.00000
22.423,-45.00000
22.474,-45.25000
22.524,-45.75000
22.576,-45.75000
22.627,-46.25000
22.678,-46.37500
22.729,-46.62500
22.779,-47.00000
22.830,-47.00000
22.881,-47.37500
22.933,-47.37500
22.984,-47.50000
23.035,-47.87500
23.085,-48.12500
23.136,-48.25000
23.187,-48.50000
23.238,-48.75000
23.289,-48.87500
23.339,-49.12500
23.390,-49.12500
23.443,-49.37500
23.493,-49.62500
23.544,-49.75000
23.595,-50.25000
23.645,-50.37500
23.696,-50.62500
23.747,-50.87500
23.798,-50.87500
23.849,-51.12500
23.900,-51.12500
23.952,-51.25000
24.002,-51.62500
24.056,-51.87500
24.106,-52.12500
24.160,-52.25000
24.212,-52.62500
24.262,-52.62500
24.313,-52.75000
24.364,-52.87500
24.415,-53.12500
24.465,-53.37500
24.516,-53.62500
24.567,-53.87500
24.618,-53.87500
24.668,-54.00000
24.719,-54.25000
24.770,-54.37500
24.821,-54.50000
24.871,-54.62500
24.922,-54.87500
24.973,-55.00000
25.024,-55.25000
25.077,-55.37500
25.128,-55.62500
25.178,-55.75000
25.229,-55.75000
25.280,-56.00000
25.331,-56.12500
25.382,-56.37500
25.432,-56.62500
25.483,-56.75000
25.534,-57.12500
25.585,-57.25000
25.635,-57.25000
25.686,-57.62500
25.739,-57.50000
25.790,-57.75000
25.842,-58.00000
25.893,-58.12500
25.944,-58.37500
25.994,-58.50000
26.045,-58.75000
26.096,-58.87500
26.147,-58.75000
26.198,-59.00000
26.248,-59.00000
26.301,-59.25000
26.352,-59.62500
26.403,-59.75000
26.453,-60.00000
26.504,-60.00000
26.555,-60.00000
26.606,-60.25000
26.659,-60.12500
26.710,-60.25000
26.761,-60.37500
26.811,-60.50000
26.862,-60.87500
26.913,-61.00000
26.964,-61.25000
27.015,-61.25000
27.066,-61.25000
27.116,-61.50000
27.167,-61.50000
27.218,-61.62500
27.269,-61.87500
27.319,-62.00000
27.372,-62.12500
27.423,-62.25000
27.475,-62.37500
27.525,-62.50000
27.576,-62.37500
27.627,-62.50000
27.678,-62.75000
27.728,-62.75000
27.779,-63.12500
27.830,-63.25000
27.881,-63.25000
27.931,-63.50000
27.982,-63.62500
28.033,-63.75000
28.083,-63.87500
28.134,-63.62500
28.185,-63.75000
28.236,-64.12500
28.289,-64.00000
28.341,-64.37500
28.392,-64.50000
28.442,-64.62500
28.493,-64.62500
28.544,-64.50000
28.595,-64.62500
28.645,-65.00000
28.696,-64.87500
28.747,-65.25000
28.798,-65.25000
28.849,-65.37500
28.899,-65.50000
28.952,-65.50000
29.002,-65.62500
29.056,-65.62500
29.107,-66.00000
29.158,-66.00000
29.209,-66.12500
29.260,-66.25000
29.310,-66.50000
29.361,-66.50000
29.413,-66.25000
29.464,-66.50000
29.514,-66.62500
29.565,-66.75000
29.616,-66.87500
29.666,-67.00000
29.717,-67.00000
29.768,-67.25000
29.821,-67.25000
29.874,-67.37500
29.924,-67.37500
29.975,-67.50000
30.026,-67.62500
30.077,-67.62500
30.127,-67.87500
30.178,-68.00000
30.229,-68.00000
30.280,-68.12500
30.331,-68.25000
30.382,-68.12500
30.432,-68.37500
30.483,-68.37500
30.534,-68.37500
30.585,-68.50000
30.635,-68.50000
30.686,-68.75000
30.737,-68.87500
30.788,-68.87500
30.840,-69.00000
30.891,-68.87500
30.941,-69.00000
30.993,-69.00000
31.044,-69.00000
31.095,-69.37500
31.146,-69.37500
31.198,-69.62500
31.249,-69.62500
31.300,-69.75000
31.351,-69.75000
31.401,-69.75000
31.452,-69.87500
31.504,-70.00000
31.554,-70.00000
31.607,-70.37500
31.657,-70.37500
31.708,-70.37500
31.759,-70.50000
31.809,-70.25000
31.860,-70.37500
31.911,-70.50000
31.962,-70.50000
32.013,-70.75000
32.063,-70.62500
32.114,-70.75000
32.165,-70.87500
32.216,-71.00000
32.266,-71.00000
32.317,-71.12500
32.368,-71.12500
32.420,-71.12500
32.472,-71.12500
32.523,-71.37500
32.574,-71.37500
32.625,-71.50000
32.676,-71.62500
32.726,-71.75000
32.777,-71.50000
