time(s),mvs
0.000,-1483.00000
0.201,-130.37500
0.401,-130.50000
0.602,-130.50000
0.803,-130.50000
1.003,-130.62500
1.204,-130.50000
1.405,-130.50000
1.605,-130.62500
1.806,-130.50000
2.007,-130.50000
2.207,-130.62500
2.408,-130.62500
2.609,-130.50000
2.809,-130.62500
3.010,-130.62500
3.211,-130.75000
3.411,-130.75000
3.612,-130.62500
3.813,-130.62500
4.013,-130.62500
4.214,-130.87500
4.415,-130.62500
4.615,-130.75000
4.816,-130.62500
5.017,-130.75000
5.218,-130.75000
5.418,-130.87500
5.619,-130.75000
5.820,-130.62500
6.020,-130.62500
6.221,-130.50000
6.422,-130.50000
6.622,-130.37500
6.823,-130.25000
7.024,-130.12500
7.224,-130.12500
7.425,-130.00000
7.626,-129.62500
7.826,-126.87500
8.027,-124.50000
8.228,-108.62500
8.428,-81.62500
8.629,-59.25000
8.830,-38.50000
9.030,-23.12500
9.231,-13.37500
9.432,-7.50000
9.633,-3.12500
9.833,0.50000
10.034,3.50000
10.235,6.25000
10.435,8.37500
10.636,10.75000
10.837,13.12500
11.037,15.62500
11.238,18.25000
11.439,20.75000
11.639,23.62500
11.840,26.12500
12.041,28.87500
12.242,31.62500
12.442,34.62500
12.643,37.50000
12.844,40.62500
13.044,43.37500
13.245,46.00000
13.446,48.62500
13.646,50.87500
13.847,53.25000
14.048,55.37500
14.248,57.50000
14.449,59.62500
14.650,61.50000
14.850,63.50000
15.051,65.12500
15.252,66.75000
15.452,68.12500
15.653,69.25000
15.854,70.50000
16.054,71.50000
16.255,72.25000
16.456,73.25000
16.656,73.87500
16.857,74.62500
17.058,75.37500
17.258,75.75000
17.459,76.25000
17.660,76.62500
17.860,77.00000
18.061,77.37500
18.262,77.75000
18.462,78.00000
18.663,78.12500
18.864,78.37500
19.064,78.37500
19.265,78.62500
19.466,78.62500
19.666,78.75000
19.867,78.62500
20.068,78.62500
20.268,78.62500
20.469,78.50000
20.670,78.37500
20.870,78.12500
21.071,77.87500
21.272,77.87500
21.472,77.50000
21.673,77.25000
21.874,77.00000
22.074,76.75000
22.275,76.25000
22.476,75.75000
22.676,75.50000
22.877,75.00000
23.078,74.50000
23.278,74.12500
23.479,73.50000
23.680,73.12500
23.881,72.50000
24.082,72.00000
24.282,71.50000
24.483,71.12500
24.684,70.37500
24.884,69.87500
25.085,69.25000
25.286,68.75000
25.486,68.25000
25.687,67.62500
25.888,67.00000
26.089,66.50000
26.289,65.87500
26.490,65.37500
26.691,64.62500
26.892,64.12500
27.092,63.62500
27.293,62.87500
27.494,62.37500
27.694,61.75000
27.895,61.25000
28.096,60.62500
28.297,60.00000
28.497,59.37500
28.698,59.00000
28.899,58.50000
29.099,57.87500
29.300,57.25000
29.501,56.62500
29.701,56.12500
29.902,55.50000
30.103,54.75000
30.304,54.25000
30.504,53.62500
30.705,53.12500
30.906,52.62500
31.107,51.87500
31.307,51.37500
31.508,50.75000
31.709,50.25000
31.909,49.62500
32.110,49.00000
32.311,48.50000
32.511,47.87500
32.712,47.25000
32.913,46.62500
33.114,46.00000
33.314,45.50000
33.515,45.00000
33.716,44.37500
33.916,43.75000
34.117,43.25000
34.318,42.50000
34.518,42.00000
34.719,41.37500
34.920,40.87500
35.121,40.37500
35.321,39.75000
35.522,39.12500
35.723,38.50000
35.923,38.12500
36.124,37.50000
36.325,36.87500
36.526,36.37500
36.726,35.87500
36.927,35.37500
37.128,34.87500
37.328,34.25000
37.529,33.75000
37.730,33.37500
37.931,32.75000
38.131,32.37500
38.332,31.62500
38.533,31.25000
38.733,30.62500
38.934,30.37500
39.135,29.87500
39.336,29.25000
39.536,28.75000
39.737,28.37500
39.938,28.00000
40.138,27.50000
40.339,27.12500
40.540,26.62500
40.741,26.25000
40.941,25.62500
41.142,25.37500
41.343,25.00000
41.543,24.62500
41.744,24.12500
41.945,23.75000
42.145,23.37500
42.346,22.87500
42.547,22.62500
42.747,22.12500
42.948,21.87500
43.149,21.37500
43.349,21.00000
43.550,20.75000
43.751,20.62500
43.951,20.37500
44.152,20.25000
44.353,20.37500
44.554,19.62500
44.754,18.87500
44.955,18.12500
45.156,17.50000
45.356,17.12500
45.557,16.50000
45.758,16.00000
45.958,15.50000
46.159,14.87500
46.360,14.25000
46.560,13.75000
46.761,13.00000
46.962,12.37500
47.162,11.75000
47.363,11.12500
47.564,10.50000
47.765,9.87500
47.965,9.25000
48.166,8.87500
48.367,8.12500
48.567,7.62500
48.768,7.12500
48.969,6.62500
49.169,6.00000
49.370,5.50000
49.571,5.00000
49.771,4.50000
49.972,4.12500
50.173,3.50000
50.373,3.12500
50.574,2.75000
50.775,2.25000
50.976,1.87500
51.176,1.50000
51.377,1.12500
51.578,0.62500
51.778,0.37500
51.979,0.00000
52.180,-0.50000
52.380,-0.87500
52.581,-1.25000
52.782,-1.62500
52.982,-1.75000
53.183,-2.12500
53.384,-2.50000
53.584,-2.87500
53.785,-3.12500
53.986,-3.37500
