time(s),mvs
0.000,25.62500
0.201,25.37500
0.401,24.50000
0.602,24.50000
0.803,23.75000
1.003,23.25000
1.204,22.75000
1.405,22.37500
1.605,21.75000
1.806,21.37500
2.007,20.87500
2.207,20.37500
2.408,20.00000
2.609,19.62500
2.809,19.25000
3.010,18.62500
3.210,43.37500
3.411,104.75000
3.612,135.25000
3.812,128.37500
4.013,129.12500
4.214,135.75000
4.414,133.25000
4.615,129.25000
4.816,125.75000
5.016,122.87500
5.217,121.87500
5.418,121.50000
5.618,121.37500
5.819,122.12500
6.020,122.12500
6.220,122.62500
6.421,122.75000
6.622,123.37500
6.823,124.12500
7.023,124.87500
7.224,125.62500
7.425,126.00000
7.625,126.50000
7.826,126.87500
8.027,127.25000
8.227,127.37500
8.428,127.50000
8.629,127.12500
8.829,127.25000
9.030,126.75000
9.231,126.62500
9.431,126.00000
9.632,125.87500
9.833,125.50000
10.033,125.75000
10.234,124.75000
10.435,124.37500
10.636,123.75000
10.836,123.25000
11.037,122.75000
11.238,122.00000
11.438,121.62500
11.639,120.62500
11.840,120.25000
12.040,119.37500
12.241,118.62500
12.442,117.87500
12.642,117.37500
12.843,116.62500
13.044,115.87500
13.245,115.37500
13.445,114.75000
13.646,114.12500
13.847,113.37500
14.047,113.00000
14.248,112.25000
14.449,111.75000
14.649,111.00000
14.850,110.50000
15.051,109.62500
15.251,109.12500
15.452,108.37500
15.653,108.12500
15.853,107.25000
16.054,106.50000
16.255,106.00000
16.456,105.25000
16.656,104.87500
16.857,103.87500
17.058,103.37500
17.258,102.62500
17.459,102.12500
17.660,101.37500
17.860,100.75000
18.061,100.00000
18.262,99.50000
18.462,98.87500
18.663,98.12500
18.864,97.62500
19.064,96.75000
19.265,96.25000
19.466,95.50000
19.666,95.00000
19.867,94.25000
20.068,93.62500
20.269,92.75000
20.469,92.37500
20.670,91.50000
20.871,91.12500
21.071,90.25000
21.272,89.87500
21.473,89.00000
21.673,88.50000
21.874,88.00000
22.075,87.25000
22.275,87.00000
22.476,86.12500
22.677,85.87500
22.877,85.00000
23.078,84.75000
23.279,84.00000
23.480,83.50000
23.680,83.00000
23.881,82.37500
24.082,81.87500
24.282,81.25000
24.483,80.87500
24.684,80.37500
24.884,80.00000
25.085,79.37500
25.286,79.00000
25.486,78.50000
25.687,78.12500
25.888,77.50000
26.089,77.12500
26.289,76.75000
26.490,76.25000
26.691,75.75000
26.891,75.37500
27.092,75.25000
27.293,74.50000
27.493,74.50000
27.694,73.75000
27.895,73.75000
28.095,73.12500
28.296,73.00000
28.497,72.37500
28.698,72.25000
28.898,71.62500
29.099,71.50000
29.300,70.87500
29.500,70.75000
29.701,70.12500
29.902,70.12500
30.102,69.50000
30.303,69.62500
30.504,68.75000
30.704,68.37500
30.905,68.12500
31.106,67.75000
31.306,67.37500
31.507,67.12500
31.708,67.00000
31.909,66.50000
32.109,66.25000
32.310,65.87500
32.511,65.75000
32.711,65.37500
32.912,65.37500
33.113,64.75000
33.313,64.75000
33.514,64.37500
33.715,64.00000
33.915,63.75000
34.116,63.62500
34.317,63.50000
34.518,63.12500
34.718,63.00000
34.919,62.50000
35.120,62.37500
35.320,62.12500
35.521,62.12500
35.722,61.37500
35.922,61.37500
36.123,60.87500
36.324,60.87500
36.524,60.50000
36.725,60.50000
36.926,60.12500
37.127,60.00000
37.327,59.87500
37.528,59.62500
37.729,59.37500
37.929,58.75000
38.130,58.87500
38.331,58.50000
38.531,58.37500
38.732,58.00000
38.933,58.00000
39.133,57.62500
39.334,57.37500
39.535,57.12500
39.735,56.87500
39.936,56.75000
40.137,56.37500
40.338,56.37500
40.538,56.00000
40.739,56.00000
40.940,55.62500
41.142,55.62500
41.343,55.37500
41.543,55.12500
41.744,54.87500
41.945,54.87500
42.146,54.50000
42.347,54.50000
42.547,54.37500
42.748,54.00000
42.949,54.00000
43.149,53.50000
43.350,53.62500
43.551,53.25000
43.752,53.25000
43.952,52.75000
44.153,52.62500
44.354,52.37500
44.554,52.37500
44.755,52.12500
44.956,52.50000
45.157,51.75000
45.357,52.12500
45.558,51.25000
45.759,51.25000
45.959,51.00000
46.160,50.75000
46.361,50.62500
46.561,50.37500
46.762,50.37500
46.963,50.12500
47.163,50.00000
47.364,49.75000
47.565,49.75000
47.765,49.50000
47.966,49.37500
48.167,49.12500
48.367,49.00000
48.568,48.75000
48.769,48.62500
48.969,48.50000
49.170,48.25000
49.371,48.12500
49.572,47.87500
49.772,47.87500
49.973,47.50000
50.174,47.50000
50.374,47.25000
50.575,46.87500
50.776,46.87500
50.976,46.50000
51.177,46.50000
51.378,46.37500
51.579,46.37500
51.779,45.87500
51.980,46.00000
52.181,45.62500
52.381,45.75000
52.582,45.25000
52.783,45.37500
52.984,45.00000
53.184,45.00000
53.385,45.00000
53.586,44.62500
53.786,44.37500
53.987,44.25000
54.188,44.00000
54.389,43.87500
54.589,43.75000
54.790,43.75000
54.991,43.75000
55.191,43.37500
55.392,43.62500
55.593,43.12500
55.794,43.12500
55.994,42.87500
56.195,42.87500
56.396,42.62500
56.596,42.50000
56.797,42.37500
56.998,42.00000
57.198,42.00000
57.399,41.87500
57.600,41.87500
57.800,41.50000
58.001,41.62500
58.202,41.37500
58.402,41.50000
58.603,41.12500
58.804,41.00000
59.004,40.75000
59.205,40.75000
59.406,40.62500
59.607,40.25000
59.807,40.37500
60.008,40.12500
60.209,40.12500
60.410,39.87500
60.610,39.75000
60.811,39.50000
61.012,39.37500
61.213,39.25000
61.413,39.25000
61.614,39.00000
61.815,39.00000
62.015,38.75000
62.216,38.62500
62.417,39.00000
62.617,38.37500
62.818,38.75000
63.019,38.00000
63.219,38.25000
63.420,37.75000
63.621,37.87500
63.822,37.62500
64.022,37.50000
64.223,37.50000
64.424,37.50000
64.625,37.12500
64.825,37.00000
65.026,37.00000
65.227,36.75000
65.428,36.75000
65.628,36.37500
65.829,36.50000
66.030,36.12500
66.231,36.25000
66.431,36.12500
66.632,35.87500
66.833,35.62500
67.033,35.50000
67.234,35.37500
67.435,35.25000
67.636,35.25000
67.836,35.12500
68.037,35.12500
68.238,34.87500
68.439,34.75000
68.639,34.50000
68.840,34.50000
69.041,34.25000
69.242,34.12500
69.442,34.00000
69.643,34.00000
69.844,33.62500
70.044,33.75000
70.245,33.62500
70.446,33.37500
70.647,33.50000
70.847,33.12500
71.048,33.37500
71.249,33.00000
71.449,33.00000
71.650,32.62500
71.851,32.87500
72.052,32.62500
72.252,32.62500
72.453,32.25000
72.654,32.37500
72.855,32.25000
73.055,32.12500
73.256,31.87500
73.457,31.87500
73.657,31.87500
73.858,31.62500
74.059,31.75000
74.259,31.37500
74.460,31.50000
74.661,31.25000
74.861,31.37500
75.062,31.00000
75.263,31.00000
75.463,30.87500
75.664,30.87500
75.865,30.62500
76.065,30.37500
76.266,30.50000
76.467,30.25000
76.668,30.25000
76.868,30.00000
77.069,30.12500
77.270,29.75000
77.470,29.75000
77.671,29.50000
77.872,29.25000
78.072,29.12500
78.273,29.12500
78.474,29.12500
78.675,28.87500
78.875,29.00000
79.076,28.62500
79.277,28.75000
79.477,28.62500
79.678,28.62500
79.879,28.25000
80.079,28.37500
80.280,28.12500
80.481,28.00000
80.682,28.00000
80.882,27.87500
81.083,27.87500
81.284,27.62500
81.485,27.62500
81.685,27.50000
81.886,27.37500
82.087,27.25000
82.287,27.25000
82.488,27.12500
82.689,27.00000
82.890,26.75000
83.090,26.87500
83.291,26.62500
83.492,26.62500
83.693,26.37500
83.893,26.25000
84.094,26.25000
84.295,26.00000
84.495,26.00000
84.696,25.75000
84.897,26.00000
85.098,25.62500
85.298,25.75000
85.499,25.50000
85.700,25.50000
85.901,25.25000
86.101,25.12500
86.302,25.00000
86.503,24.87500
86.703,24.87500
86.904,24.62500
87.105,24.62500
87.306,24.25000
87.506,24.25000
87.707,24.12500
87.908,24.37500
88.109,23.87500
88.309,23.87500
88.510,23.62500
88.711,23.75000
88.911,23.37500
89.112,23.50000
89.313,23.12500
89.514,23.25000
89.714,23.00000
89.915,23.00000
