time(s),mvs,
0.000,-108.37500,
0.201,-108.75000,
0.401,-109.00000,
0.602,-109.62500,
0.803,-109.62500,
1.003,194.75000,
1.204,220.00000,
1.405,206.25000,
1.605,187.00000,
1.806,176.37500,
2.006,167.25000,
2.207,159.00000,
2.408,152.12500,
2.608,145.00000,
2.809,145.50000,
3.010,141.37500,
3.210,136.25000,
3.411,132.62500,
3.612,131.25000,
3.812,130.12500,
4.013,129.87500,
4.214,129.50000,
4.414,129.25000,
4.615,128.37500,
4.816,126.75000,
5.017,125.12500,
5.217,122.62500,
5.418,119.87500,
5.619,117.37500,
5.820,115.37500,
6.020,113.50000,
6.221,111.50000,
6.422,109.25000,
6.623,107.37500,
6.823,105.75000,
7.024,104.12500,
7.225,102.50000,
7.426,100.75000,
7.627,98.75000,
7.827,97.12500,
8.028,95.37500,
8.229,94.12500,
8.430,92.12500,
8.630,90.62500,
8.831,88.75000,
9.032,87.12500,
9.233,85.37500,
9.433,83.87500,
9.634,82.12500,
9.835,80.50000,
10.036,79.00000,
10.236,77.12500,
10.437,75.37500,
10.638,73.62500,
10.839,72.00000,
11.039,70.37500,
11.240,68.37500,
11.441,66.62500,
11.642,65.00000,
11.842,63.50000,
12.043,61.87500,
12.244,60.12500,
12.445,58.50000,
12.645,56.75000,
12.846,55.25000,
13.047,53.50000,
13.248,52.00000,
13.448,50.12500,
13.649,48.37500,
13.850,46.75000,
14.050,45.00000,
14.251,43.62500,
14.452,41.62500,
14.652,39.87500,
14.853,38.25000,
15.054,36.75000,
15.254,34.87500,
15.455,33.37500,
15.656,31.62500,
15.856,30.00000,
16.057,28.00000,
16.258,26.50000,
16.458,24.75000,
16.659,23.00000,
16.860,21.37500,
17.060,19.50000,
17.261,18.00000,
17.461,16.37500,
17.662,14.62500,
17.863,13.00000,
18.063,11.00000,
18.264,9.62500,
18.465,7.75000,
18.665,6.25000,
18.866,4.37500,
19.067,2.62500,
19.267,1.25000,
19.468,-0.50000,
19.669,-2.00000,
19.870,-3.62500,
20.070,-5.37500,
20.271,-6.75000,
20.472,-8.62500,
20.672,-10.12500,
20.873,-11.62500,
21.074,-13.25000,
21.274,-15.00000,
21.475,-16.12500,
21.676,-17.75000,
21.876,-19.25000,
22.077,-20.75000,
22.278,-22.00000,
22.478,-23.50000,
22.679,-25.00000,
22.880,-26.50000,
23.080,-28.00000,
23.281,-29.25000,
23.482,-30.62500,
23.682,-31.87500,
23.883,-33.50000,
24.084,-34.75000,
24.284,-36.00000,
24.485,-37.25000,
24.686,-38.62500,
24.886,-39.87500,
25.087,-41.00000,
25.288,-42.50000,
25.488,-43.62500,
25.689,-44.87500,
25.890,-45.87500,
26.091,-47.25000,
26.291,-48.37500,
26.492,-49.62500,
26.693,-50.87500,
26.893,-51.87500,
27.094,-52.75000,
27.295,-53.87500,
27.495,-55.25000,
27.696,-56.25000,
27.897,-57.25000,
28.097,-58.50000,
28.298,-59.62500,
28.499,-60.50000,
28.699,-61.37500,
28.900,-62.37500,
29.101,-63.62500,
29.301,-64.37500,
29.502,-65.37500,
29.703,-66.25000,
29.903,-67.37500,
30.104,-68.00000,
30.305,-69.12500,
30.505,-70.12500,
30.706,-70.87500,
30.907,-71.62500,
31.107,-72.75000,
31.308,-73.25000,
31.509,-74.12500,
31.709,-75.00000,
31.910,-75.62500,
32.111,-76.50000,
32.311,-77.12500,
32.512,-77.87500,
32.713,-78.87500,
32.914,-79.37500,
33.114,-80.37500,
33.315,-80.75000,
33.516,-81.75000,
33.716,-82.37500,
33.917,-82.87500,
34.118,-83.50000,
34.318,-84.12500,
34.519,-84.62500,
34.720,-85.37500,
34.920,-85.87500,
35.121,-86.62500,
35.322,-86.75000,
35.522,-87.50000,
35.723,-88.00000,
35.924,-88.50000,
36.124,-89.12500,
36.325,-89.50000,
36.526,-90.25000,
36.726,-90.62500,
36.927,-91.12500,
37.128,-91.62500,
37.328,-92.00000,
37.529,-92.50000,
37.730,-93.00000,
37.930,-93.37500,
38.131,-93.87500,
38.332,-94.00000,
38.532,-94.62500,
38.733,-95.12500,
38.934,-95.12500,
39.134,-95.62500,
39.335,-96.25000,
39.536,-96.37500,
39.736,-96.50000,
39.937,-97.12500,
40.138,-97.37500,
40.339,-97.50000,
40.539,-98.00000,
40.740,-98.12500,
40.941,-98.50000,
41.141,-99.00000,
41.342,-99.00000,
41.543,-99.25000,
41.743,-99.62500,
41.944,-99.87500,
42.145,-100.00000,
42.345,-100.25000,
42.546,-100.50000,
42.747,-100.75000,
42.947,-101.00000,
43.148,-101.25000,
43.349,-101.50000,
43.549,-101.62500,
43.750,-101.87500,
43.951,-102.00000,
44.151,-102.12500,
44.352,-102.50000,
44.553,-102.50000,
44.753,-102.75000,
44.954,-103.12500,
45.155,-103.12500,
45.355,-103.37500,
45.556,-103.37500,
45.757,-103.50000,
45.957,-103.75000,
46.158,-103.87500,
46.359,-104.12500,
46.559,-104.00000,
46.760,-104.37500,
46.961,-104.50000,
47.161,-104.50000,
47.362,-104.87500,
47.563,-105.00000,
47.763,-105.00000,
47.964,-105.25000,
48.165,-105.12500,
48.366,-105.37500,
48.566,-105.12500,
48.767,-105.62500,
48.968,-105.62500,
49.169,-105.50000,
49.369,-105.75000,
49.570,-105.87500,
49.771,-106.00000,
49.972,-106.25000,
