time(s),mvs
0.000,-54.62500
0.201,-55.37500
0.401,-56.12500
0.602,-56.87500
0.803,-57.50000
1.004,-58.12500
1.204,-59.12500
1.405,-59.87500
1.606,-25.12500
1.806,-2.62500
2.007,3.12500
2.208,12.25000
2.408,21.50000
2.609,32.37500
2.809,39.62500
3.010,45.50000
3.211,50.50000
3.411,54.37500
3.612,56.75000
3.813,58.12500
4.013,59.12500
4.214,60.37500
4.414,61.12500
4.615,61.37500
4.816,61.12500
5.016,60.87500
5.217,60.12500
5.418,59.62500
5.618,58.75000
5.819,57.75000
6.020,56.62500
6.220,55.62500
6.421,54.37500
6.622,53.12500
6.822,52.00000
7.023,50.75000
7.224,49.75000
7.424,48.50000
7.625,47.50000
7.826,46.50000
8.027,45.62500
8.227,44.87500
8.428,44.00000
8.629,43.00000
8.829,42.00000
9.030,41.00000
9.231,40.00000
9.432,38.87500
9.632,37.87500
9.833,36.87500
10.034,35.75000
10.235,34.50000
10.435,33.50000
10.636,32.37500
10.837,31.25000
11.037,30.00000
11.238,28.87500
11.439,27.75000
11.640,26.62500
11.840,25.62500
12.041,24.25000
12.242,23.12500
12.443,21.87500
12.643,20.75000
12.844,19.50000
13.045,18.50000
13.246,17.25000
13.446,16.12500
13.647,15.00000
13.848,14.00000
14.048,12.75000
14.249,11.75000
14.450,10.62500
14.651,9.62500
14.851,8.62500
15.052,7.37500
15.253,6.50000
15.454,5.37500
15.654,4.37500
15.855,3.50000
16.056,2.50000
16.256,1.50000
16.457,0.50000
16.658,-0.50000
16.859,-1.25000
17.059,-2.25000
17.260,-3.12500
17.461,-4.00000
17.662,-4.87500
17.862,-5.75000
18.063,-6.62500
18.264,-7.50000
18.465,-8.25000
18.665,-9.12500
18.866,-9.87500
19.067,-10.50000
19.267,-11.50000
19.468,-12.37500
19.669,-13.00000
19.870,-13.87500
20.070,-14.62500
20.271,-15.50000
20.472,-16.25000
20.673,-17.00000
20.873,-17.87500
21.074,-18.37500
21.275,-19.00000
21.475,-19.75000
21.676,-20.62500
21.877,-21.12500
22.078,-21.87500
22.278,-22.37500
22.479,-23.25000
22.680,-23.87500
22.881,-24.37500
23.081,-25.00000
23.282,-25.75000
23.483,-26.25000
23.683,-27.12500
23.884,-27.75000
24.085,-28.25000
24.286,-28.87500
24.486,-29.50000
24.687,-30.12500
24.888,-30.62500
25.089,-31.25000
25.289,-31.75000
25.490,-32.37500
25.691,-33.00000
25.892,-33.50000
26.092,-34.00000
26.293,-34.50000
26.494,-35.12500
26.694,-35.75000
26.895,-36.25000
27.096,-36.75000
27.297,-37.25000
27.497,-37.87500
27.698,-38.37500
27.899,-38.87500
28.100,-39.37500
28.300,-39.87500
28.501,-40.37500
28.702,-40.87500
28.902,-41.25000
29.103,-41.87500
29.304,-42.37500
29.505,-42.87500
29.705,-43.25000
29.906,-43.75000
30.107,-44.25000
30.308,-44.87500
30.508,-45.37500
30.709,-45.87500
30.910,-46.12500
31.111,-46.75000
31.311,-47.12500
31.512,-47.50000
31.713,-47.87500
31.913,-48.37500
32.114,-48.75000
32.315,-49.25000
32.516,-49.75000
32.716,-50.12500
32.917,-50.37500
33.118,-50.87500
33.319,-51.25000
33.519,-51.62500
33.720,-52.12500
33.921,-52.50000
34.121,-52.75000
34.322,-53.25000
34.523,-53.62500
34.724,-54.12500
34.924,-54.50000
35.125,-54.87500
35.326,-55.37500
35.527,-55.62500
35.727,-56.00000
35.928,-56.50000
36.129,-56.75000
36.329,-57.12500
36.530,-57.62500
36.731,-57.87500
36.932,-58.12500
37.132,-58.75000
37.333,-59.00000
37.534,-59.37500
37.736,-59.75000
37.937,-60.12500
38.137,-60.50000
38.338,-60.87500
38.539,-61.37500
38.740,-61.50000
38.940,-61.87500
39.141,-62.12500
39.342,-62.37500
39.543,-62.87500
39.743,-63.12500
39.944,-63.50000
40.145,-63.75000
40.346,-64.25000
40.546,-64.37500
40.747,-64.75000
40.948,-64.87500
41.149,-65.25000
41.349,-65.62500
41.550,-65.87500
41.751,-66.12500
41.952,-66.50000
42.153,-67.00000
42.353,-67.12500
42.554,-67.37500
42.755,-67.75000
42.956,-67.87500
43.156,-68.25000
43.357,-68.50000
43.558,-68.75000
43.759,-69.00000
43.959,-69.25000
44.160,-69.50000
44.361,-69.75000
44.561,-70.00000
44.762,-70.37500
44.963,-70.75000
45.164,-70.75000
45.364,-71.12500
45.565,-71.50000
45.766,-71.62500
45.967,-71.87500
46.167,-72.25000
46.368,-72.50000
46.569,-72.75000
46.770,-73.00000
46.970,-73.12500
47.171,-73.50000
47.372,-73.75000
47.572,-73.87500
47.773,-74.12500
47.974,-74.50000
48.175,-74.62500
48.375,-74.87500
48.576,-75.25000
48.777,-75.25000
48.978,-75.50000
49.178,-75.75000
49.379,-75.87500
49.580,-76.12500
49.780,-76.37500
49.981,-76.62500
50.182,-76.87500
50.383,-77.00000
50.583,-77.37500
50.784,-77.37500
50.985,-77.75000
51.186,-78.00000
51.386,-78.12500
51.587,-78.25000
51.788,-78.50000
51.989,-78.62500
52.189,-78.87500
52.390,-79.12500
52.591,-79.12500
52.791,-79.25000
52.992,-79.50000
53.193,-79.87500
53.394,-80.00000
53.594,-80.25000
53.795,-80.37500
53.996,-80.62500
54.197,-80.75000
54.398,-80.87500
54.598,-81.25000
54.799,-81.25000
55.000,-81.50000
55.200,-81.75000
55.401,-81.87500
55.602,-82.00000
55.803,-82.25000
56.003,-82.37500
56.204,-82.37500
56.405,-82.75000
56.606,-83.00000
56.806,-83.12500
57.007,-83.37500
57.208,-83.37500
57.409,-83.62500
57.609,-83.87500
57.810,-83.87500
58.011,-84.00000
58.212,-84.00000
58.412,-84.25000
58.613,-84.50000
58.814,-84.62500
59.015,-84.75000
59.215,-84.87500
59.416,-85.00000
59.617,-85.25000
59.817,-85.25000
60.018,-85.37500
60.219,-85.62500
60.420,-85.62500
60.621,-85.75000
60.821,-86.00000
61.022,-86.12500
61.223,-86.25000
61.424,-86.37500
61.624,-86.50000
61.825,-86.50000
62.026,-86.87500
62.226,-86.75000
62.427,-87.12500
62.628,-87.12500
62.829,-87.37500
63.029,-87.37500
63.230,-87.50000
63.431,-87.50000
63.632,-87.75000
63.832,-88.00000
64.033,-88.00000
64.234,-88.12500
64.435,-88.37500
64.635,-88.37500
64.836,-88.50000
65.037,-88.75000
65.238,-88.75000
65.438,-88.87500
65.639,-88.87500
65.840,-89.12500
66.041,-89.37500
66.241,-89.25000
66.442,-89.50000
66.643,-89.50000
66.844,-89.50000
67.044,-89.62500
67.245,-89.75000
67.446,-89.87500
67.646,-89.87500
67.847,-90.00000
68.048,-90.00000
68.248,-90.25000
68.449,-90.37500
68.650,-90.37500
68.850,-90.50000
69.051,-90.62500
69.252,-90.62500
69.452,-90.87500
69.653,-90.87500
69.854,-90.87500
70.054,-91.12500
70.255,-91.00000
70.455,-91.12500
70.656,-91.25000
70.857,-91.25000
71.057,-91.37500
71.258,-91.50000
71.459,-91.50000
71.659,-91.50000
71.860,-91.75000
72.061,-91.75000
72.261,-91.87500
72.462,-92.00000
72.663,-92.00000
72.863,-92.12500
73.064,-92.25000
73.265,-92.25000
73.465,-92.25000
73.666,-92.50000
73.867,-92.50000
74.067,-92.50000
74.268,-92.62500
74.469,-92.62500
74.669,-92.62500
74.870,-92.75000
75.071,-93.00000
75.271,-92.87500
75.472,-93.12500
75.673,-93.12500
75.873,-93.12500
76.074,-93.25000
76.275,-93.25000
76.475,-93.25000
76.676,-93.37500
76.877,-93.37500
77.077,-93.50000
77.278,-93.62500
77.479,-93.75000
77.679,-93.75000
77.880,-93.87500
78.081,-94.00000
78.281,-94.00000
78.482,-94.00000
78.683,-94.12500
78.883,-94.12500
79.084,-94.12500
79.284,-94.25000
79.485,-94.25000
