time(s),mvs
0.000,-77.00000
0.103,-77.00000
0.154,-77.00000
0.205,-76.87500
0.256,-76.87500
0.306,-77.00000
0.362,-77.12500
0.414,-77.12500
0.465,-77.00000
0.515,-77.00000
0.567,-76.87500
0.618,-76.87500
0.670,-77.25000
0.721,-77.25000
0.772,-77.37500
0.823,-77.25000
0.873,-77.00000
0.924,-77.00000
0.975,-77.12500
1.026,-77.12500
1.076,9.37500
1.127,178.12500
1.178,251.50000
1.229,269.25000
1.280,280.50000
1.331,282.87500
1.382,282.37500
1.432,282.12500
1.483,281.62500
1.534,282.87500
1.585,285.62500
1.636,287.12500
1.688,288.50000
1.739,287.75000
1.791,292.37500
1.842,294.62500
1.893,291.62500
1.943,288.12500
1.994,285.25000
2.045,285.87500
2.095,284.87500
2.146,284.37500
2.197,283.87500
2.247,282.87500
2.298,281.25000
2.349,278.75000
2.400,276.12500
2.452,272.62500
2.503,270.00000
2.557,267.75000
2.611,267.50000
2.661,268.62500
2.712,266.87500
2.763,264.75000
2.813,262.62500
2.864,260.00000
2.915,256.12500
2.966,252.37500
3.016,248.25000
3.069,245.00000
3.121,241.62500
3.172,238.50000
3.223,235.50000
3.273,232.50000
3.324,228.87500
3.375,226.00000
3.426,222.37500
3.476,219.75000
3.527,216.62500
3.578,214.00000
3.628,211.25000
3.679,209.12500
3.730,206.50000
3.781,204.37500
3.831,202.25000
3.882,200.50000
3.933,198.87500
3.983,197.25000
4.035,195.62500
4.087,194.00000
4.138,192.37500
4.189,191.12500
4.239,190.00000
4.290,188.50000
4.341,187.62500
4.392,186.87500
4.442,186.00000
4.493,184.75000
4.544,184.00000
4.595,183.00000
4.645,182.25000
4.696,181.50000
4.747,180.87500
4.798,180.25000
4.849,179.75000
4.899,179.12500
4.951,178.37500
5.001,177.87500
5.053,177.12500
5.104,176.75000
5.155,176.12500
5.205,175.62500
5.256,175.50000
5.307,175.00000
5.358,174.50000
5.409,174.12500
5.459,173.62500
5.510,173.25000
5.561,172.87500
5.612,172.37500
5.662,172.37500
5.713,172.00000
5.764,171.75000
5.815,171.37500
5.865,171.25000
5.917,170.62500
5.968,170.50000
6.020,170.00000
6.071,170.00000
6.122,169.62500
6.172,169.25000
6.223,169.12500
6.274,168.75000
6.325,168.37500
6.379,168.12500
6.432,168.25000
6.484,167.87500
6.535,167.75000
6.587,167.25000
6.640,166.87500
6.691,166.75000
6.741,166.50000
6.792,166.37500
6.843,166.25000
6.894,166.00000
6.944,165.87500
6.995,165.87500
7.046,165.37500
7.096,165.25000
7.147,165.12500
7.198,165.00000
7.249,165.00000
7.299,164.87500
7.350,164.50000
7.401,164.37500
7.452,164.12500
7.503,163.75000
7.553,163.62500
7.604,163.37500
7.655,163.12500
7.706,163.25000
7.756,163.12500
7.807,163.00000
7.858,162.87500
7.909,162.62500
7.961,162.50000
8.011,162.25000
8.062,162.12500
8.113,162.12500
8.165,162.00000
8.216,161.87500
8.267,161.87500
8.319,161.37500
8.370,161.37500
8.421,161.12500
8.472,160.87500
8.522,161.00000
