time(s),mvs
0.000,-89.62500
0.201,-89.62500
0.401,-89.75000
0.602,-89.87500
0.803,-89.75000
1.003,-90.00000
1.204,-90.00000
1.404,-90.37500
1.605,-90.37500
1.806,-90.37500
2.006,-90.50000
2.207,7.25000
2.408,66.87500
2.608,83.75000
2.809,86.37500
3.009,83.62500
3.210,85.62500
3.411,84.12500
3.611,81.87500
3.812,81.25000
4.013,81.62500
4.213,82.50000
4.414,84.00000
4.614,85.62500
4.815,87.37500
5.016,88.87500
5.216,90.50000
5.417,92.00000
5.618,93.37500
5.818,95.12500
6.019,96.62500
6.220,98.00000
6.420,99.37500
6.621,100.75000
6.822,101.87500
7.022,103.12500
7.223,104.00000
7.423,104.87500
7.624,105.50000
7.825,106.00000
8.025,106.50000
8.226,107.12500
8.427,107.25000
8.627,107.62500
8.828,107.75000
9.029,108.00000
9.229,108.00000
9.430,107.87500
9.630,107.75000
9.831,107.62500
10.032,107.75000
10.232,107.37500
10.433,107.00000
10.634,106.75000
10.834,106.25000
11.035,105.75000
11.236,105.12500
11.436,104.62500
11.637,103.87500
11.837,103.25000
12.038,102.37500
12.239,101.37500
12.439,100.37500
12.640,99.50000
12.841,98.50000
13.041,97.50000
13.242,96.62500
13.442,95.75000
13.643,95.12500
13.844,94.12500
14.044,93.37500
14.245,92.75000
14.446,92.00000
14.646,91.12500
14.847,90.37500
15.048,89.75000
15.248,89.12500
15.449,88.37500
15.649,87.75000
15.850,87.12500
16.051,86.37500
16.251,85.75000
16.452,85.00000
16.653,84.37500
16.853,83.75000
17.054,83.12500
17.254,82.37500
17.455,81.62500
17.656,81.00000
17.856,80.37500
18.057,79.75000
18.258,79.12500
18.458,78.37500
18.659,77.62500
18.860,77.12500
19.060,76.25000
19.261,75.62500
19.461,74.87500
19.662,74.25000
19.863,73.50000
20.063,72.87500
20.264,72.12500
20.465,71.50000
20.665,70.87500
20.866,70.25000
21.067,69.50000
21.267,68.75000
21.468,68.12500
21.669,67.37500
21.869,66.50000
22.070,65.75000
22.270,65.00000
22.471,64.25000
22.672,63.50000
22.872,63.00000
23.073,62.37500
23.274,61.62500
23.474,60.62500
23.675,60.12500
23.875,59.50000
24.076,58.62500
24.277,58.00000
24.477,57.37500
24.678,56.50000
24.879,56.00000
25.079,55.25000
25.280,54.50000
25.481,53.87500
25.681,53.25000
25.882,52.50000
26.082,51.87500
26.283,51.12500
26.484,50.50000
26.684,49.87500
26.885,49.12500
27.086,48.62500
27.286,47.75000
27.487,47.25000
27.688,46.62500
27.888,46.00000
28.089,45.37500
28.289,44.62500
28.490,44.00000
28.691,43.50000
28.891,42.87500
29.092,42.25000
29.293,41.75000
29.493,41.00000
29.694,40.50000
29.894,40.00000
30.095,39.50000
30.296,38.87500
30.496,38.25000
30.697,37.75000
30.898,37.25000
31.098,36.75000
31.299,36.12500
31.500,35.62500
31.700,35.12500
31.901,34.62500
32.102,34.12500
32.302,33.62500
32.503,33.12500
32.704,32.75000
