time(s),mvs
0.000,-1481.00000
0.051,229.62500
0.101,229.62500
0.152,229.62500
0.202,229.75000
0.253,229.62500
0.304,229.62500
0.354,229.50000
0.405,229.50000
0.456,229.50000
0.506,229.50000
0.557,229.62500
0.607,229.50000
0.658,229.50000
0.709,229.37500
0.759,229.50000
0.810,229.50000
0.861,229.37500
0.911,229.50000
0.962,229.50000
1.012,229.37500
1.063,229.62500
1.114,229.50000
1.164,229.75000
1.215,229.50000
1.266,229.62500
1.316,229.62500
1.367,229.50000
1.418,229.62500
1.469,229.50000
1.519,229.62500
1.570,229.75000
1.621,229.37500
1.671,229.37500
1.722,229.37500
1.773,229.37500
1.823,229.37500
1.874,229.37500
1.925,229.50000
1.976,229.25000
2.026,229.50000
2.077,229.37500
2.128,229.37500
2.178,229.37500
2.229,229.37500
2.280,229.62500
2.331,229.37500
2.381,229.50000
2.432,229.50000
2.483,229.37500
2.533,229.37500
2.584,229.37500
2.635,229.50000
2.686,229.50000
2.736,229.37500
2.787,229.50000
2.838,229.37500
2.888,229.37500
2.939,229.50000
2.990,229.50000
3.041,229.50000
3.091,229.37500
3.142,229.50000
3.193,229.37500
3.243,229.75000
3.294,229.62500
3.344,229.50000
3.395,229.75000
3.446,229.62500
3.496,229.75000
3.547,229.62500
3.597,229.75000
3.648,229.62500
3.699,229.62500
3.749,229.75000
3.800,229.62500
3.851,229.62500
3.901,229.75000
3.952,229.50000
4.002,229.50000
4.053,229.37500
4.104,229.50000
4.154,229.50000
4.205,229.50000
4.256,229.50000
4.306,229.50000
4.357,229.62500
4.407,229.50000
4.458,229.37500
4.509,229.50000
4.559,229.50000
4.610,229.62500
4.661,229.62500
4.711,229.50000
4.762,229.50000
4.813,229.50000
4.863,229.62500
4.914,229.50000
4.964,229.50000
5.015,229.50000
5.066,229.50000
5.116,229.62500
5.167,229.50000
5.218,229.62500
5.268,229.62500
5.319,229.50000
5.370,229.62500
5.420,229.50000
5.471,229.50000
5.521,229.50000
5.572,229.37500
5.623,229.50000
5.673,229.50000
5.724,229.62500
5.775,229.50000
5.825,229.50000
5.876,229.62500
5.926,229.50000
5.977,229.62500
6.028,229.62500
6.078,229.75000
6.129,229.62500
6.180,229.75000
6.230,229.62500
6.281,229.75000
6.332,229.62500
6.382,229.62500
6.433,229.50000
6.483,229.62500
6.534,229.50000
6.585,229.62500
6.635,229.62500
6.686,229.50000
6.737,229.75000
6.787,229.62500
6.838,229.50000
6.888,229.50000
6.939,229.50000
6.990,229.62500
7.041,229.50000
7.091,229.62500
7.142,229.62500
7.193,229.37500
7.243,229.62500
7.294,229.37500
7.345,229.62500
7.396,229.50000
7.446,229.62500
7.497,229.50000
7.548,229.50000
7.599,229.75000
7.649,229.50000
7.700,229.62500
7.751,229.50000
7.802,229.62500
7.852,229.62500
7.903,229.50000
7.954,229.62500
8.005,229.50000
8.055,229.50000
8.106,229.50000
8.157,229.50000
8.208,229.50000
8.258,229.62500
8.309,229.62500
8.360,229.62500
8.410,229.50000
8.461,229.50000
8.512,229.50000
8.563,229.62500
8.613,229.62500
8.664,229.62500
8.715,229.50000
8.766,229.37500
8.816,229.50000
8.867,229.37500
8.918,229.62500
8.969,229.50000
9.019,229.50000
9.070,229.50000
9.121,229.37500
9.171,229.50000
9.222,229.37500
9.273,229.50000
9.323,229.50000
9.374,229.50000
9.424,229.50000
9.475,229.50000
9.526,229.62500
9.576,229.50000
9.627,229.50000
9.678,229.62500
9.728,229.50000
9.779,229.62500
9.830,229.50000
9.880,229.50000
9.931,229.50000
9.982,229.50000
10.032,229.50000
10.083,229.50000
10.134,229.50000
10.184,229.62500
10.235,229.37500
10.285,229.50000
10.336,229.50000
10.387,229.50000
10.437,229.50000
10.488,229.50000
10.539,229.50000
10.589,229.50000
10.640,229.37500
10.691,229.50000
10.741,229.37500
10.792,229.50000
10.843,229.50000
10.893,229.50000
10.944,229.50000
10.995,229.62500
11.045,229.62500
11.096,229.62500
11.147,229.62500
11.197,229.62500
11.248,229.50000
11.298,229.62500
11.349,229.37500
11.400,229.50000
11.450,229.50000
11.501,229.50000
11.552,229.37500
11.602,229.50000
11.653,229.50000
11.703,229.50000
11.754,229.37500
11.805,229.50000
11.855,229.37500
11.906,229.62500
11.957,229.50000
12.007,229.50000
12.058,229.50000
12.109,229.37500
12.159,229.62500
12.210,229.50000
12.260,229.50000
12.311,229.62500
12.362,229.50000
12.412,229.50000
12.463,229.50000
12.514,229.50000
12.564,229.62500
12.615,229.50000
12.666,229.62500
12.716,229.50000
12.767,229.50000
12.817,229.37500
12.868,229.50000
12.919,229.50000
12.969,229.37500
13.020,229.50000
13.071,229.50000
13.121,229.37500
13.172,229.50000
13.222,229.50000
13.273,229.62500
13.324,229.50000
13.374,229.50000
13.425,229.62500
13.476,229.62500
13.526,229.50000
13.577,229.37500
13.628,229.50000
13.678,229.62500
13.729,229.50000
13.779,229.50000
13.830,229.62500
13.881,229.62500
13.931,229.62500
13.982,229.62500
14.033,229.62500
14.083,229.50000
14.134,229.50000
14.185,229.50000
14.235,229.50000
14.286,229.50000
14.337,229.50000
14.387,229.62500
14.438,229.50000
14.488,229.50000
14.539,229.50000
14.590,229.50000
14.640,229.62500
14.691,229.50000
14.742,229.62500
14.792,229.50000
14.843,229.62500
14.894,229.50000
14.944,229.50000
14.995,229.62500
15.046,229.50000
15.096,229.62500
15.147,229.50000
15.198,229.37500
15.248,229.62500
15.299,229.37500
15.349,229.50000
15.400,229.50000
15.451,229.50000
15.501,229.62500
15.552,229.50000
15.603,229.50000
15.653,229.50000
15.704,229.37500
15.755,229.50000
15.805,229.50000
15.856,229.62500
15.906,229.50000
15.957,229.62500
16.008,229.50000
16.058,229.50000
16.109,229.75000
16.160,229.75000
16.210,229.75000
16.261,229.62500
16.312,229.62500
16.362,229.75000
16.413,229.50000
16.464,229.62500
16.514,229.62500
16.565,229.50000
16.615,229.62500
16.666,229.50000
16.717,229.50000
16.767,229.50000
16.818,229.62500
16.869,229.62500
16.919,229.50000
16.970,229.50000
17.021,229.50000
17.071,229.50000
17.122,229.62500
17.172,229.50000
17.223,229.62500
17.274,229.62500
17.324,229.62500
17.375,229.62500
17.426,229.50000
17.476,229.62500
17.527,229.75000
17.578,229.75000
17.628,229.62500
17.679,229.62500
17.729,229.62500
17.780,229.50000
17.831,229.62500
17.881,229.50000
17.932,229.50000
17.983,229.75000
18.033,229.50000
18.084,229.75000
18.134,229.50000
18.185,229.50000
18.236,229.37500
18.286,229.50000
18.337,229.50000
18.388,229.50000
18.438,229.37500
18.489,229.50000
18.539,229.50000
18.590,229.62500
18.641,229.50000
18.691,229.62500
18.742,229.75000
18.793,229.62500
18.843,229.62500
18.894,229.62500
18.945,229.50000
18.995,229.62500
19.046,229.62500
19.096,229.62500
19.147,229.50000
19.198,229.62500
19.248,229.50000
19.299,229.50000
19.350,229.50000
19.400,229.62500
19.451,229.75000
19.501,229.50000
19.552,229.62500
19.603,229.62500
19.653,229.50000
19.704,229.62500
19.755,229.62500
19.805,229.75000
19.856,229.62500
19.906,229.50000
19.957,229.62500
20.008,229.62500
20.058,229.75000
20.109,229.62500
20.159,229.62500
20.210,229.75000
20.261,229.37500
20.311,229.62500
20.362,229.62500
20.413,229.50000
20.463,229.62500
20.514,229.50000
20.564,229.62500
20.615,229.50000
20.666,229.50000
20.716,229.50000
20.767,229.50000
20.818,229.62500
20.868,229.62500
20.919,229.62500
20.970,229.62500
21.020,229.50000
21.071,229.62500
21.121,229.62500
21.172,229.75000
21.223,229.75000
21.273,229.50000
21.324,229.75000
21.375,229.62500
21.425,229.62500
21.476,229.62500
21.526,229.62500
21.577,229.62500
21.628,229.62500
21.678,229.75000
21.729,229.50000
21.780,229.62500
21.830,229.75000
21.881,229.50000
21.932,229.62500
21.982,229.50000
22.033,229.62500
22.084,229.50000
22.135,229.50000
22.185,229.62500
22.236,229.62500
22.287,229.62500
22.337,229.50000
22.388,229.50000
22.439,229.62500
22.490,229.62500
22.540,229.62500
22.591,229.62500
22.642,229.62500
22.692,229.62500
22.743,229.62500
22.793,229.62500
22.844,229.50000
22.895,229.62500
22.945,229.62500
22.996,229.50000
23.047,229.75000
23.097,229.50000
23.148,229.62500
23.199,229.50000
23.249,229.62500
23.300,229.50000
23.351,229.50000
23.401,229.50000
23.452,229.50000
23.503,229.62500
23.553,229.62500
23.604,229.62500
23.655,229.62500
23.705,229.50000
23.756,229.62500
23.807,229.62500
23.857,229.62500
23.908,229.75000
23.958,229.62500
24.009,229.75000
24.060,229.75000
24.110,229.75000
24.161,229.75000
24.212,229.50000
24.262,229.62500
24.313,229.50000
24.364,229.62500
24.414,229.62500
24.465,229.62500
24.516,229.62500
24.567,229.50000
24.618,229.37500
24.668,229.62500
24.719,229.50000
