time(s),mvs
0.000,-1481.00000
0.051,216.50000
0.101,215.00000
0.152,217.50000
0.202,446.25000
0.253,481.62500
0.304,487.62500
0.354,493.12500
0.405,496.62500
0.456,500.12500
0.506,502.62500
0.557,505.00000
0.607,507.25000
0.658,509.12500
0.709,511.00000
0.759,512.62500
0.810,514.25000
0.860,515.62500
0.911,517.00000
0.962,518.37500
1.012,519.62500
1.063,520.87500
1.113,521.87500
1.164,523.25000
1.215,524.50000
1.265,525.75000
1.316,526.75000
1.366,528.00000
1.417,529.00000
1.468,530.12500
1.518,531.25000
1.569,532.25000
1.619,533.37500
1.670,534.25000
1.721,535.25000
1.771,536.12500
1.822,537.00000
1.873,537.75000
1.923,538.62500
1.974,539.25000
2.024,539.87500
2.075,540.75000
2.126,541.37500
2.176,542.00000
2.227,542.50000
2.277,543.25000
2.328,543.75000
2.379,544.37500
2.429,544.87500
2.480,545.50000
2.530,546.00000
2.581,546.37500
2.632,546.87500
2.682,547.25000
2.733,547.75000
2.784,548.12500
2.834,548.50000
2.885,549.00000
2.935,549.50000
2.986,549.87500
3.037,550.12500
3.087,550.50000
3.138,550.87500
3.188,551.25000
3.239,551.62500
3.290,552.00000
3.340,552.25000
3.391,552.50000
3.441,552.87500
3.492,553.25000
3.543,553.62500
3.593,553.87500
3.644,554.12500
3.694,554.50000
3.745,554.75000
3.796,555.12500
3.846,555.12500
3.897,555.50000
3.947,555.87500
3.998,556.00000
4.049,556.37500
4.099,556.62500
4.150,556.87500
4.200,557.12500
4.251,557.50000
4.302,557.62500
4.352,557.87500
4.403,558.25000
4.453,558.37500
4.504,558.62500
4.555,558.87500
4.605,559.12500
4.656,559.37500
4.707,559.50000
4.757,559.75000
4.808,559.87500
4.858,560.12500
4.909,560.37500
4.960,560.62500
5.010,560.75000
5.061,560.87500
5.112,561.37500
5.162,561.50000
5.213,561.62500
5.263,561.75000
5.314,562.00000
5.365,562.25000
5.415,562.50000
5.466,562.62500
5.517,562.87500
5.567,563.12500
5.618,563.25000
5.668,563.37500
5.719,563.62500
5.770,563.75000
5.820,563.87500
5.871,564.00000
5.922,564.25000
5.972,564.50000
6.023,564.50000
6.073,564.62500
6.124,565.00000
6.175,565.00000
6.225,565.25000
6.276,565.37500
6.326,565.50000
6.377,565.62500
6.428,565.87500
6.478,566.12500
6.529,566.12500
6.580,566.25000
6.630,566.37500
6.681,566.62500
6.731,566.75000
6.782,566.87500
6.833,567.00000
6.883,567.12500
6.934,567.12500
6.985,567.37500
7.035,567.50000
7.086,567.62500
7.136,567.62500
7.187,567.87500
7.238,568.00000
7.288,568.25000
7.339,568.25000
7.389,568.37500
7.440,568.37500
7.491,568.62500
7.541,568.75000
7.592,568.75000
7.643,568.87500
7.693,569.00000
7.744,569.12500
7.794,569.25000
7.845,569.25000
7.896,569.37500
7.946,569.62500
7.997,569.62500
8.047,569.75000
8.098,569.87500
8.149,570.00000
8.199,570.12500
8.250,570.25000
8.301,570.37500
8.351,570.37500
8.402,570.50000
8.452,570.62500
8.503,570.62500
8.554,570.87500
8.604,570.87500
8.655,571.00000
8.705,571.12500
8.756,571.12500
8.807,571.00000
8.857,571.25000
8.908,571.37500
8.959,571.37500
9.009,571.50000
9.060,571.62500
9.110,571.75000
9.161,571.75000
9.212,571.87500
9.262,572.00000
9.313,572.12500
9.364,572.25000
9.414,572.25000
9.465,572.25000
9.515,572.50000
9.566,572.50000
9.617,572.50000
9.667,572.75000
9.718,572.62500
9.768,572.87500
9.819,573.00000
9.870,573.00000
9.920,573.12500
9.971,573.12500
10.021,573.25000
10.072,573.37500
10.123,573.50000
10.173,573.37500
10.224,573.62500
10.275,573.75000
10.325,573.75000
10.376,573.87500
10.426,574.12500
10.477,574.00000
10.528,574.00000
10.578,574.12500
10.629,574.12500
10.680,574.25000
10.730,574.25000
10.781,574.37500
10.831,574.50000
10.882,574.50000
10.933,574.62500
10.983,574.75000
11.034,574.75000
11.085,574.75000
11.135,574.87500
11.186,574.87500
11.236,574.87500
11.287,575.12500
11.338,575.12500
11.388,575.37500
11.439,575.37500
11.489,575.50000
11.540,575.50000
11.591,575.62500
11.641,575.75000
11.692,575.75000
11.743,576.00000
11.793,576.00000
11.844,576.12500
11.894,576.25000
11.945,576.37500
11.996,576.50000
12.046,576.62500
12.097,576.62500
12.148,576.62500
12.198,576.87500
12.249,576.87500
12.299,577.00000
12.350,577.12500
12.401,577.25000
12.451,577.25000
12.502,577.37500
12.553,577.37500
12.603,577.62500
12.654,577.62500
12.704,577.75000
12.755,577.87500
12.806,578.00000
12.856,578.00000
12.907,578.12500
12.957,578.12500
13.008,578.25000
13.059,578.25000
13.109,578.37500
13.160,578.37500
13.211,578.37500
13.261,578.50000
13.312,578.62500
13.362,578.75000
13.413,578.87500
13.464,578.87500
13.514,579.00000
13.565,579.00000
13.615,579.00000
13.666,579.12500
13.717,579.25000
13.767,579.25000
13.818,579.37500
13.869,579.37500
13.919,579.50000
13.970,579.75000
14.020,579.62500
14.071,579.75000
14.122,579.87500
14.172,579.87500
14.223,579.87500
14.273,580.00000
14.324,580.12500
14.375,580.25000
14.425,580.25000
14.476,580.37500
14.527,580.50000
14.577,580.62500
14.628,580.75000
14.678,580.62500
14.729,580.75000
14.780,580.75000
14.830,580.87500
14.881,581.00000
14.931,580.87500
14.982,581.00000
15.033,581.12500
15.083,581.12500
15.134,581.12500
15.184,581.25000
15.235,581.37500
15.286,581.50000
15.336,581.50000
15.387,581.62500
15.438,581.62500
15.488,581.75000
15.539,581.75000
15.589,581.87500
15.640,582.00000
15.691,582.00000
15.741,582.00000
15.792,582.25000
15.842,582.25000
15.893,582.25000
15.944,582.37500
15.994,582.50000
16.045,582.50000
16.095,582.50000
16.146,582.62500
16.197,582.62500
16.247,582.75000
16.298,582.75000
16.349,582.87500
16.399,582.87500
16.450,583.00000
16.500,583.00000
16.551,583.12500
16.602,583.25000
16.652,583.25000
16.703,583.25000
16.754,583.25000
16.804,583.25000
16.855,583.25000
16.906,583.50000
16.956,583.50000
17.007,583.62500
17.057,583.50000
17.108,583.62500
17.159,583.62500
17.209,583.75000
17.260,583.75000
17.311,583.87500
17.361,583.87500
17.412,584.00000
17.462,584.12500
17.513,584.12500
17.564,584.12500
17.614,584.37500
17.665,584.37500
17.715,584.50000
17.766,584.50000
17.817,584.50000
17.867,584.75000
17.918,584.75000
17.969,584.87500
18.019,584.87500
18.070,585.00000
18.120,585.00000
18.171,585.12500
18.222,585.12500
18.272,585.12500
18.323,585.12500
18.374,585.12500
18.424,585.25000
18.475,585.37500
18.525,585.37500
18.576,585.62500
18.627,585.62500
18.677,585.62500
18.728,585.62500
18.779,585.75000
18.829,585.75000
18.880,585.87500
18.930,585.87500
18.981,586.12500
19.032,586.12500
19.082,586.12500
19.133,586.25000
19.184,586.25000
19.234,586.25000
19.285,586.37500
19.335,586.50000
19.386,586.50000
19.437,586.75000
19.487,586.75000
19.538,586.75000
19.589,586.75000
19.639,586.75000
19.690,586.75000
19.740,586.75000
19.791,586.87500
19.842,587.00000
19.892,587.12500
19.943,587.25000
19.994,587.25000
20.044,587.25000
20.095,587.37500
20.145,587.50000
20.196,587.50000
20.247,587.62500
20.297,587.50000
20.348,587.62500
20.398,587.75000
20.449,587.75000
20.500,587.75000
20.550,587.75000
20.601,587.87500
20.652,588.00000
20.702,588.00000
20.753,588.12500
20.803,588.12500
20.854,588.37500
20.905,588.25000
20.955,588.37500
21.006,588.37500
21.057,588.37500
21.107,588.50000
21.158,588.50000
21.208,588.50000
21.259,588.62500
21.310,588.75000
21.360,588.75000
21.411,588.87500
21.462,589.00000
21.512,589.00000
21.563,589.12500
21.613,589.12500
21.664,589.12500
21.715,589.12500
21.765,589.12500
21.816,589.25000
21.867,589.37500
21.917,589.37500
21.968,589.37500
22.018,589.50000
22.069,589.62500
22.120,589.50000
22.170,589.62500
22.221,589.75000
22.272,589.75000
22.322,589.75000
22.373,589.87500
22.423,589.87500
22.474,589.87500
22.525,589.75000
22.575,589.87500
22.626,590.00000
22.677,590.12500
22.727,590.12500
22.778,590.25000
22.829,590.25000
22.879,590.25000
22.930,590.37500
22.980,590.37500
23.031,590.37500
23.082,590.37500
23.132,590.50000
23.183,590.62500
23.234,590.62500
23.284,590.75000
23.335,590.75000
23.385,590.87500
23.436,590.87500
23.487,590.87500
23.537,591.00000
23.588,591.00000
23.639,591.12500
23.689,591.12500
23.740,591.12500
23.791,591.25000
23.841,591.25000
23.892,591.37500
23.942,591.25000
23.993,591.37500
24.044,591.50000
24.094,591.50000
24.145,591.50000
24.196,591.50000
24.246,591.50000
24.297,591.62500
24.347,591.62500
24.398,591.62500
24.449,591.75000
24.499,591.87500
24.550,591.87500
24.601,591.87500
24.651,591.87500
24.702,592.00000
24.752,592.00000
24.803,592.12500
24.854,592.00000
24.904,592.12500
24.955,592.37500
25.005,592.12500
25.056,592.12500
25.107,592.12500
25.157,592.25000
25.208,592.37500
25.259,592.25000
25.309,592.50000
25.360,592.37500
25.411,592.50000
25.461,592.62500
25.512,592.50000
25.562,592.62500
25.613,592.75000
25.664,592.75000
25.714,592.87500
25.765,592.87500
25.815,592.87500
25.866,593.00000
25.917,593.12500
25.967,593.12500
26.018,593.12500
26.069,593.25000
26.119,593.25000
26.170,593.25000
26.220,593.37500
26.271,593.37500
26.322,593.37500
26.372,593.37500
26.423,593.37500
26.474,593.62500
26.524,593.62500
26.575,593.62500
26.626,593.62500
26.676,593.62500
26.727,593.75000
26.777,593.87500
26.828,593.87500
26.879,594.00000
26.929,594.00000
26.980,594.12500
27.030,594.12500
27.081,594.37500
27.132,594.37500
27.182,594.37500
27.233,594.50000
27.284,594.50000
27.334,594.62500
27.385,594.62500
27.435,594.75000
27.486,594.75000
27.537,594.87500
27.587,595.12500
27.638,595.00000
27.688,595.12500
27.739,595.25000
27.790,595.25000
27.840,595.37500
27.891,595.37500
27.942,595.50000
