time(s),mvs
0.000,372.12500
0.051,372.62500
0.101,372.00000
0.152,372.12500
0.203,372.12500
0.253,371.87500
0.304,372.12500
0.355,372.12500
0.405,372.12500
0.456,372.50000
0.507,372.12500
0.557,372.87500
0.608,372.50000
0.658,372.75000
0.709,372.87500
0.760,372.75000
0.810,373.62500
0.861,373.25000
0.912,373.25000
0.962,373.00000
1.013,372.62500
1.064,372.75000
1.114,372.25000
1.165,372.62500
1.215,371.87500
1.266,372.25000
1.317,372.62500
1.367,371.75000
1.418,372.25000
1.469,371.62500
1.519,371.75000
1.570,371.50000
1.621,371.50000
1.671,371.87500
1.722,371.50000
1.773,371.37500
1.823,371.87500
1.874,371.62500
1.925,372.25000
1.975,371.75000
2.026,372.50000
2.076,372.25000
2.127,372.50000
2.178,372.37500
2.228,372.12500
2.279,372.50000
2.330,372.50000
2.380,372.12500
2.431,372.62500
2.482,372.12500
2.532,372.37500
2.583,372.12500
2.634,372.75000
2.684,372.37500
2.735,372.50000
2.786,372.87500
2.836,372.25000
2.887,372.37500
2.938,372.25000
2.988,372.00000
3.039,372.37500
3.090,372.00000
3.140,372.50000
3.191,372.00000
3.242,372.62500
3.292,372.37500
3.343,372.00000
3.394,373.50000
3.444,373.25000
3.495,373.00000
3.546,372.87500
3.596,372.75000
3.647,373.12500
3.698,372.62500
3.748,373.00000
3.799,372.62500
3.850,372.75000
3.900,373.00000
3.951,372.62500
4.002,373.00000
4.052,372.62500
4.103,372.75000
4.154,373.37500
4.204,372.62500
4.255,373.25000
4.306,372.75000
4.356,372.50000
4.407,373.12500
4.458,372.62500
4.508,373.50000
4.559,373.25000
4.610,373.50000
4.660,373.37500
4.711,373.12500
4.762,373.37500
4.812,372.75000
4.863,373.37500
4.914,373.37500
4.964,373.12500
5.015,373.25000
5.066,372.75000
5.116,373.00000
5.167,372.62500
5.218,373.00000
5.268,372.87500
5.319,372.75000
5.370,373.00000
5.420,372.50000
5.471,372.50000
5.522,372.50000
5.572,372.12500
5.623,372.62500
5.674,372.25000
5.724,373.00000
5.775,372.75000
5.826,373.12500
5.876,373.12500
5.927,372.62500
5.978,373.25000
6.028,373.12500
6.079,372.87500
6.130,373.12500
6.180,372.62500
6.231,373.00000
6.282,372.37500
6.332,372.87500
6.383,372.50000
6.434,372.62500
6.484,373.12500
6.535,372.75000
6.586,373.00000
6.636,373.00000
6.687,373.00000
6.738,373.12500
6.788,373.00000
6.839,373.75000
6.890,373.12500
6.940,373.62500
6.991,373.50000
7.042,373.00000
7.092,373.62500
7.143,373.25000
7.194,373.75000
7.244,373.50000
7.295,373.50000
7.346,373.87500
7.397,373.12500
7.447,373.50000
7.498,372.75000
7.549,373.00000
7.599,373.37500
7.650,372.62500
7.701,372.87500
7.751,372.37500
7.802,372.37500
7.853,372.25000
7.903,372.12500
7.954,372.87500
8.005,371.87500
8.055,372.62500
8.106,373.12500
8.157,372.62500
8.207,372.25000
8.258,372.00000
8.309,373.12500
8.360,373.12500
8.410,373.25000
8.461,373.25000
8.512,372.62500
8.562,373.12500
8.613,372.75000
8.664,373.12500
8.714,373.37500
8.765,372.75000
8.816,373.25000
8.866,372.87500
8.917,373.12500
8.968,372.75000
9.018,372.75000
9.069,373.12500
9.120,372.75000
9.171,373.37500
9.221,373.00000
9.272,372.75000
9.323,373.25000
9.373,372.75000
9.424,373.62500
9.475,373.25000
9.526,373.75000
9.576,373.62500
9.627,373.50000
9.678,373.87500
9.728,373.12500
9.779,373.62500
9.830,374.50000
9.881,374.12500
9.931,373.75000
9.982,373.00000
10.033,373.37500
10.084,373.00000
10.134,373.25000
10.185,373.00000
10.236,373.62500
10.287,374.00000
10.337,373.12500
10.388,373.87500
10.439,373.50000
10.489,373.12500
10.540,373.87500
10.591,374.12500
10.642,374.50000
10.692,373.50000
10.743,373.87500
10.794,373.75000
10.845,373.75000
10.895,374.00000
10.946,373.12500
10.997,373.62500
11.047,372.75000
11.098,373.12500
11.149,373.50000
11.200,373.00000
11.250,373.25000
11.301,372.87500
11.352,373.00000
11.402,373.00000
11.453,372.75000
11.504,373.25000
11.555,372.75000
11.605,373.50000
11.656,373.00000
11.707,373.75000
11.758,373.37500
11.808,373.12500
11.859,373.87500
11.910,373.75000
11.960,373.62500
12.011,374.00000
12.062,373.37500
12.113,373.87500
12.163,373.00000
12.214,373.37500
12.265,372.50000
12.316,372.75000
12.366,373.25000
12.417,372.50000
12.468,372.62500
12.519,372.37500
12.569,372.25000
12.620,372.62500
12.671,372.37500
12.721,372.87500
12.772,372.37500
12.823,373.00000
12.874,372.75000
12.924,373.00000
12.975,373.00000
13.026,372.75000
13.077,373.12500
13.127,373.12500
13.178,373.37500
13.229,373.50000
13.279,373.25000
13.330,373.75000
13.381,373.00000
13.432,373.62500
13.482,373.12500
13.533,373.25000
13.584,373.37500
13.635,373.12500
13.685,373.62500
13.736,373.25000
13.787,373.37500
13.837,373.75000
13.888,373.50000
13.939,374.37500
13.990,373.87500
14.040,374.50000
14.091,374.12500
14.142,374.37500
14.192,374.37500
14.243,374.12500
14.294,374.25000
14.345,374.25000
14.395,373.87500
14.446,374.25000
14.497,373.50000
14.548,374.12500
14.598,373.62500
14.649,373.87500
14.700,373.75000
14.751,373.87500
14.801,373.87500
14.852,373.62500
14.903,373.75000
14.953,373.62500
15.004,373.37500
15.055,373.75000
15.106,373.25000
15.156,373.87500
15.207,373.75000
15.258,374.25000
15.309,374.00000
15.359,374.50000
15.410,374.62500
15.461,374.25000
15.511,374.62500
15.562,374.50000
15.613,374.12500
15.664,374.25000
15.714,373.62500
15.765,374.00000
15.816,373.25000
15.867,373.62500
15.917,373.12500
15.968,373.12500
16.019,373.50000
16.069,373.00000
16.120,373.12500
16.171,373.25000
16.222,373.12500
16.272,374.25000
16.323,373.75000
16.374,374.25000
16.425,373.12500
16.475,373.75000
16.526,373.62500
16.577,373.87500
16.627,374.00000
16.678,374.12500
16.729,374.75000
16.780,374.00000
16.830,373.87500
16.881,374.12500
16.932,373.62500
16.983,373.87500
17.033,373.12500
17.084,374.12500
17.135,372.75000
17.186,373.37500
17.236,373.37500
17.287,373.00000
17.338,373.62500
17.388,373.12500
17.439,372.87500
17.490,373.37500
17.541,372.87500
17.591,373.37500
17.642,373.12500
17.693,373.87500
17.744,373.62500
17.794,373.87500
17.845,373.87500
17.896,373.25000
17.946,373.50000
17.997,372.87500
18.048,373.37500
18.099,373.75000
18.149,373.00000
18.200,373.62500
18.251,372.87500
18.301,373.25000
18.352,373.00000
18.403,373.00000
18.454,373.50000
18.504,373.12500
18.555,373.75000
18.606,373.37500
18.656,373.25000
18.707,373.62500
18.758,373.25000
18.808,373.87500
18.859,373.50000
18.910,374.12500
18.960,373.75000
19.011,374.12500
19.062,374.25000
19.112,373.75000
19.164,374.12500
19.215,373.62500
19.265,374.12500
19.316,374.37500
19.367,373.50000
19.418,374.00000
19.468,373.37500
19.519,373.75000
19.570,373.37500
19.620,373.50000
19.671,373.62500
19.722,373.37500
19.772,374.12500
19.823,373.62500
19.874,373.37500
19.924,374.00000
19.975,373.62500
20.026,374.25000
20.076,373.87500
20.127,374.37500
20.178,374.00000
20.228,374.12500
20.279,374.12500
20.330,373.75000
20.380,374.00000
20.431,374.00000
20.482,373.87500
20.532,374.00000
20.583,373.75000
20.634,374.12500
20.684,373.50000
20.735,373.87500
20.786,373.25000
20.837,373.50000
20.887,373.37500
20.938,373.25000
20.989,373.50000
21.039,373.25000
21.090,373.37500
21.141,373.50000
21.191,373.25000
21.242,374.00000
21.293,373.50000
21.343,374.12500
21.394,373.87500
21.445,374.12500
21.496,374.12500
21.546,373.75000
21.597,373.87500
21.648,374.12500
21.698,374.00000
21.749,374.25000
21.800,373.75000
21.850,374.25000
21.901,374.00000
21.952,374.37500
22.002,374.12500
22.053,374.37500
22.104,374.62500
22.155,374.12500
22.205,374.37500
22.256,374.00000
22.307,374.00000
22.357,373.87500
22.408,373.87500
22.459,374.37500
22.509,373.87500
22.560,374.50000
22.611,374.12500
22.662,373.75000
22.712,374.62500
22.763,374.12500
22.814,374.75000
22.864,374.62500
22.915,374.50000
22.969,373.87500
23.019,374.25000
23.070,373.62500
23.121,373.87500
23.172,373.75000
23.225,373.50000
23.276,374.12500
23.327,373.75000
23.377,374.37500
23.428,374.00000
23.479,374.50000
23.529,374.25000
23.580,373.87500
23.631,374.37500
23.681,374.12500
23.732,374.00000
23.783,374.12500
23.833,373.87500
23.884,374.00000
23.935,373.62500
23.985,374.00000
24.036,373.25000
24.087,373.75000
24.137,374.00000
24.188,373.37500
24.239,373.87500
24.289,373.00000
24.340,373.25000
24.391,373.00000
24.441,372.87500
24.492,373.25000
24.543,372.87500
24.593,373.00000
24.644,373.12500
24.695,373.00000
24.745,373.87500
24.796,373.37500
24.847,374.12500
24.898,373.75000
24.948,374.12500
24.999,374.12500
25.050,374.00000
25.100,374.25000
25.151,374.12500
25.202,374.25000
25.252,374.62500
25.303,374.00000
25.354,374.62500
25.404,374.00000
25.455,374.25000
25.506,373.87500
25.556,374.25000
25.607,373.87500
25.658,374.00000
25.708,374.50000
25.759,374.12500
25.810,374.25000
25.860,374.25000
25.911,374.12500
25.962,374.50000
26.012,374.25000
26.063,375.12500
26.114,374.75000
26.165,375.50000
26.215,375.50000
26.266,374.75000
26.317,375.50000
26.367,375.37500
26.418,375.62500
26.469,375.87500
26.519,375.50000
26.570,375.75000
26.621,374.87500
26.671,375.25000
26.722,374.37500
26.773,374.50000
26.824,375.00000
26.874,374.12500
26.925,374.50000
26.976,374.25000
27.026,374.37500
27.077,374.25000
27.128,374.12500
27.178,374.25000
27.229,373.87500
27.280,374.50000
27.330,374.12500
27.381,373.87500
27.432,374.25000
27.483,373.87500
27.533,374.50000
27.584,374.12500
27.635,374.75000
27.685,374.62500
27.736,374.37500
27.787,374.75000
27.837,373.87500
27.888,374.12500
27.939,374.37500
27.989,373.87500
28.040,374.12500
28.091,373.37500
28.142,373.75000
28.192,373.00000
28.243,373.25000
28.294,373.12500
28.345,373.00000
28.395,373.25000
28.446,372.87500
28.497,373.50000
28.547,373.00000
28.598,372.75000
28.649,373.25000
28.700,372.75000
28.750,373.37500
28.801,372.87500
28.852,373.25000
28.902,373.12500
28.953,373.25000
29.004,373.37500
29.055,373.12500
29.105,373.50000
29.156,373.50000
29.207,373.37500
29.258,373.75000
29.308,373.12500
29.359,373.75000
29.410,373.12500
29.460,373.50000
29.511,373.12500
29.562,373.25000
29.613,373.50000
29.663,373.12500
29.714,374.75000
29.765,374.25000
29.815,373.75000
29.866,373.75000
29.917,373.50000
29.968,374.25000
