time: 0.000, mvs: -124.87500
time: 0.201, mvs: -124.87500
time: 0.401, mvs: -124.87500
time: 0.602, mvs: -124.75000
time: 0.803, mvs: -124.75000
time: 1.003, mvs: -124.87500
time: 1.204, mvs: 70.87500
time: 1.405, mvs: 196.00000
time: 1.606, mvs: 218.25000
time: 1.806, mvs: 202.62500
time: 2.007, mvs: 186.50000
time: 2.208, mvs: 181.50000
time: 2.408, mvs: 176.62500
time: 2.609, mvs: 181.50000
time: 2.810, mvs: 189.75000
time: 3.011, mvs: 188.75000
time: 3.211, mvs: 229.00000
time: 3.412, mvs: 208.75000
time: 3.613, mvs: 192.00000
time: 3.814, mvs: 179.62500
time: 4.017, mvs: 169.87500
time: 4.217, mvs: 161.75000
time: 4.418, mvs: 154.12500
time: 4.619, mvs: 147.75000
time: 4.820, mvs: 142.12500
time: 5.021, mvs: 136.75000
time: 5.222, mvs: 132.25000
time: 5.422, mvs: 128.12500
time: 5.623, mvs: 124.25000
time: 5.824, mvs: 120.50000
time: 6.025, mvs: 117.00000
time: 6.225, mvs: 113.75000
time: 6.426, mvs: 110.62500
time: 6.627, mvs: 107.50000
time: 6.828, mvs: 104.62500
time: 7.028, mvs: 101.87500
time: 7.229, mvs: 99.12500
time: 7.430, mvs: 96.37500
time: 7.630, mvs: 93.62500
time: 7.831, mvs: 91.12500
time: 8.032, mvs: 88.50000
time: 8.233, mvs: 86.00000
time: 8.433, mvs: 83.75000
time: 8.634, mvs: 81.62500
time: 8.835, mvs: 79.50000
time: 9.035, mvs: 77.50000
time: 9.236, mvs: 75.87500
time: 9.437, mvs: 73.87500
time: 9.638, mvs: 72.25000
time: 9.838, mvs: 70.37500
time: 10.039, mvs: 68.62500
time: 10.240, mvs: 67.00000
time: 10.441, mvs: 65.25000
time: 10.641, mvs: 63.62500
time: 10.842, mvs: 62.12500
time: 11.043, mvs: 60.62500
time: 11.244, mvs: 58.87500
time: 11.445, mvs: 57.37500
time: 11.647, mvs: 55.62500
time: 11.850, mvs: 54.00000
time: 12.051, mvs: 52.25000
time: 12.252, mvs: 50.50000
