time(s),mvs
0.000,214.50000
0.051,214.37500
0.101,214.37500
0.152,214.50000
0.203,214.25000
0.253,214.50000
0.304,214.50000
0.355,214.37500
0.405,214.37500
0.456,214.25000
0.507,214.12500
0.557,214.62500
0.608,214.62500
0.658,214.25000
0.709,214.37500
0.760,214.25000
0.810,214.50000
0.861,214.50000
0.912,214.00000
0.962,214.00000
1.013,214.37500
1.064,214.50000
1.114,214.37500
1.165,214.50000
1.216,214.12500
1.266,214.37500
1.317,214.37500
1.367,214.25000
1.418,214.25000
1.469,214.12500
1.519,214.12500
1.570,214.50000
1.621,214.50000
1.741,214.00000
1.792,214.25000
1.842,214.37500
1.893,214.37500
1.943,214.37500
1.994,214.00000
2.045,214.12500
2.095,214.50000
2.146,214.12500
2.197,214.25000
2.247,214.12500
2.298,214.12500
2.349,214.50000
2.399,214.50000
2.450,214.12500
2.501,214.12500
2.551,214.37500
2.602,214.37500
2.652,214.50000
2.703,214.12500
2.754,214.12500
2.804,214.37500
2.855,214.37500
2.906,214.50000
2.956,214.37500
3.007,214.12500
3.058,214.12500
3.108,214.37500
3.159,214.12500
3.210,214.25000
3.260,214.25000
3.311,214.12500
3.362,214.50000
3.412,214.37500
3.463,214.12500
3.514,214.12500
3.564,214.37500
3.615,214.50000
3.665,214.50000
3.716,214.00000
3.767,214.12500
3.817,214.37500
3.868,214.50000
3.919,214.37500
3.969,214.37500
4.020,214.12500
4.071,214.12500
4.121,214.50000
4.172,214.25000
4.223,214.25000
4.273,214.25000
4.324,214.25000
4.375,214.50000
4.425,214.37500
4.476,214.12500
4.527,214.25000
4.577,214.25000
4.628,214.25000
4.678,214.50000
4.729,214.12500
4.780,214.00000
4.830,214.37500
4.881,214.50000
4.932,214.37500
4.983,214.50000
5.033,214.12500
5.084,214.12500
5.135,214.37500
5.185,214.25000
5.236,214.25000
5.287,214.25000
5.337,214.25000
5.388,214.50000
5.439,214.37500
5.489,214.12500
5.540,214.25000
5.591,214.25000
5.641,214.25000
5.692,214.37500
5.743,214.12500
5.793,214.12500
5.844,214.37500
5.895,214.37500
5.945,214.37500
5.996,214.50000
6.047,214.12500
6.097,214.00000
6.148,214.25000
6.199,214.37500
6.249,214.37500
6.300,214.12500
6.351,214.25000
6.401,214.62500
6.452,214.50000
6.503,214.12500
6.553,214.12500
6.604,214.25000
6.655,214.25000
6.705,214.37500
6.756,214.50000
6.807,214.25000
6.857,214.37500
6.908,214.37500
6.959,214.50000
7.009,214.62500
7.060,214.25000
7.111,214.25000
7.161,214.50000
7.212,214.50000
7.263,214.50000
7.313,214.50000
7.364,214.37500
7.415,214.62500
7.465,214.75000
7.516,214.50000
7.567,214.37500
7.617,214.62500
7.668,214.50000
7.719,214.75000
7.769,214.62500
7.820,214.37500
7.870,214.62500
7.921,214.50000
7.972,214.50000
8.022,214.50000
8.073,214.25000
8.124,214.12500
8.174,214.62500
8.225,214.75000
8.276,214.37500
8.326,214.62500
8.377,214.37500
8.428,214.75000
8.478,214.50000
8.529,214.12500
8.580,214.25000
8.630,214.37500
8.681,214.50000
8.732,214.62500
8.782,214.62500
8.833,214.25000
8.884,214.62500
8.934,214.50000
8.985,214.50000
9.036,214.62500
9.086,214.37500
9.137,214.50000
9.188,214.62500
9.239,214.50000
9.289,214.50000
9.340,214.62500
9.391,214.37500
9.441,214.75000
9.492,214.75000
9.543,214.37500
9.593,214.37500
9.644,214.37500
9.695,214.37500
9.745,214.50000
9.796,214.50000
9.847,214.37500
9.897,214.25000
9.948,214.62500
9.999,214.50000
10.049,214.62500
10.100,214.12500
10.151,214.25000
10.201,214.62500
10.252,214.62500
10.303,214.50000
10.353,214.50000
10.404,214.37500
10.455,214.37500
10.505,214.75000
10.556,214.25000
10.607,214.37500
10.657,214.50000
10.708,214.50000
10.759,214.50000
10.809,214.62500
10.860,214.25000
10.911,214.12500
10.961,214.50000
11.012,214.50000
11.063,214.50000
11.113,214.25000
11.164,214.37500
11.215,214.75000
11.265,214.62500
11.316,214.37500
11.366,214.62500
11.417,214.37500
11.468,214.37500
11.518,214.62500
11.569,214.37500
11.620,214.37500
11.670,214.62500
11.721,214.50000
11.772,214.75000
11.822,214.75000
11.873,214.37500
11.923,214.25000
11.974,214.50000
12.025,214.37500
12.075,214.62500
12.126,214.25000
12.177,214.25000
12.227,214.75000
12.278,214.75000
12.329,214.25000
12.379,214.37500
12.430,214.25000
12.481,214.25000
12.531,214.62500
12.582,214.25000
12.632,214.25000
12.683,214.50000
12.734,214.37500
12.784,214.62500
12.835,214.62500
12.886,214.25000
12.936,214.25000
12.987,214.50000
13.038,214.50000
13.088,214.50000
13.139,214.25000
13.190,214.25000
13.240,214.62500
13.291,214.62500
13.341,214.37500
13.392,214.50000
13.443,214.37500
13.493,214.50000
13.544,214.75000
13.595,214.25000
13.645,214.25000
13.696,214.37500
13.747,214.37500
13.797,214.50000
13.848,214.50000
13.898,214.25000
13.949,214.25000
14.000,214.50000
14.050,214.37500
14.101,214.50000
14.152,214.25000
14.202,214.37500
14.253,214.62500
14.304,214.37500
14.354,214.12500
14.405,214.25000
14.455,214.00000
14.506,214.37500
14.557,214.50000
14.607,214.00000
14.658,214.12500
14.709,214.37500
14.759,214.25000
14.810,214.25000
14.861,214.50000
14.911,214.12500
14.962,214.00000
15.013,214.25000
15.063,214.12500
15.114,214.37500
15.165,214.00000
15.216,214.00000
15.266,214.37500
15.317,214.37500
15.368,214.12500
15.418,214.25000
15.469,214.12500
15.520,214.00000
15.570,214.37500
15.621,214.00000
15.672,214.12500
15.722,214.25000
15.773,214.25000
15.824,214.37500
15.875,214.37500
15.925,214.12500
15.976,214.00000
16.027,214.25000
16.077,214.25000
16.128,214.25000
16.179,214.12500
16.229,214.00000
16.280,214.50000
16.331,214.50000
16.382,214.12500
16.432,214.12500
16.483,214.25000
16.534,214.12500
16.584,214.37500
16.635,214.50000
16.686,214.00000
16.736,214.12500
16.787,214.25000
16.838,214.50000
16.889,214.50000
16.939,214.12500
16.990,213.87500
17.041,214.37500
17.091,214.37500
17.142,214.37500
17.193,214.37500
17.243,214.12500
17.294,214.00000
17.345,214.37500
17.396,214.25000
17.446,214.25000
17.497,214.00000
17.548,214.00000
17.598,214.37500
17.649,214.37500
17.700,214.00000
17.751,214.00000
17.801,214.12500
17.852,214.25000
17.903,214.25000
17.953,214.12500
18.004,214.12500
18.055,214.37500
18.106,214.37500
18.156,214.37500
18.207,214.37500
18.258,214.12500
18.308,214.00000
18.359,214.12500
18.410,214.25000
18.460,214.25000
18.511,214.12500
18.562,214.00000
18.613,214.37500
18.663,214.50000
18.714,214.00000
18.765,214.12500
18.815,214.25000
18.866,214.25000
18.917,214.37500
18.968,214.37500
19.018,214.12500
19.069,214.00000
19.120,214.37500
19.170,214.50000
19.221,214.50000
19.272,214.12500
19.322,214.12500
19.373,214.37500
19.424,214.37500
19.475,214.12500
19.525,214.25000
19.576,214.12500
19.627,214.12500
19.677,214.50000
19.728,214.12500
19.779,214.12500
19.830,214.25000
19.880,214.12500
19.931,214.37500
19.982,214.50000
20.032,214.00000
20.083,214.00000
20.134,214.25000
20.184,214.25000
20.235,214.25000
20.286,214.37500
20.337,214.12500
20.387,214.50000
20.438,214.50000
20.489,214.25000
20.539,214.25000
20.590,214.12500
20.641,214.12500
20.691,214.37500
20.742,214.37500
20.793,214.25000
20.844,214.12500
20.894,214.25000
20.945,214.50000
20.996,214.50000
21.047,214.12500
21.097,214.00000
21.148,214.37500
21.199,214.25000
21.249,214.25000
21.300,214.37500
21.351,214.12500
21.401,214.12500
21.452,214.37500
21.503,214.25000
21.554,214.25000
21.604,214.00000
21.655,214.12500
21.706,214.50000
21.756,214.50000
21.807,214.12500
21.858,214.25000
21.908,214.12500
21.959,214.12500
22.010,214.37500
22.061,214.37500
22.111,214.00000
22.162,214.25000
22.213,214.25000
22.263,214.37500
22.314,214.37500
22.365,214.00000
22.416,214.00000
22.466,214.25000
22.517,214.25000
22.568,214.25000
22.618,214.25000
22.669,214.12500
22.720,214.50000
22.771,214.50000
22.821,214.00000
22.872,214.00000
22.923,214.12500
