time(s),mvs
0.000,52.25000
0.204,51.12500
0.405,50.12500
0.605,49.25000
0.806,48.25000
1.007,47.25000
1.207,46.12500
1.408,45.25000
1.609,44.12500
1.809,43.12500
2.010,42.25000
2.211,41.25000
2.411,40.12500
2.612,39.12500
2.813,38.50000
3.013,37.00000
3.214,36.12500
3.414,35.37500
3.615,34.25000
3.816,33.50000
4.016,32.75000
4.217,32.00000
4.418,31.00000
4.618,30.12500
4.819,29.25000
5.019,28.37500
5.220,27.75000
5.421,26.87500
5.621,25.87500
5.822,25.00000
6.023,24.12500
6.224,23.25000
6.424,22.12500
6.625,21.25000
6.826,20.25000
7.026,19.50000
7.227,18.50000
7.428,17.75000
7.628,16.75000
7.829,16.00000
8.030,15.12500
8.230,14.25000
8.431,13.37500
8.632,12.62500
8.832,11.75000
9.033,11.00000
9.234,10.25000
9.434,9.50000
9.635,8.50000
9.836,8.00000
time(s),mvs
0.000,-100.12500
0.201,-100.25000
0.401,-100.25000
0.604,-100.37500
0.805,-100.25000
1.006,-100.25000
1.206,-100.50000
1.407,-100.50000
1.608,-100.37500
1.808,-100.50000
2.009,-100.37500
2.209,-100.37500
2.410,-100.25000
2.611,-100.25000
2.811,-100.25000
3.012,-100.25000
3.213,-100.25000
3.413,-100.25000
3.614,-100.37500
3.815,-100.25000
4.015,-100.37500
4.216,-100.50000
4.416,-100.50000
4.617,-100.62500
4.818,-100.50000
5.018,-100.25000
5.219,-99.62500
5.420,-98.50000
5.620,-97.00000
5.821,-95.12500
6.022,-93.25000
6.222,-91.00000
6.423,-88.87500
6.624,-86.50000
6.824,-84.12500
7.025,-81.50000
7.226,-78.87500
7.426,-76.25000
7.627,-73.62500
7.828,-71.37500
8.028,-69.00000
8.229,-67.25000
8.430,-65.37500
8.630,-64.12500
8.831,-62.62500
9.032,-61.50000
9.233,-60.25000
9.433,-59.37500
9.634,-58.62500
9.835,-57.75000
10.036,-57.12500
10.236,-56.62500
10.437,-56.37500
10.638,-56.12500
10.839,-56.12500
11.039,-56.00000
11.240,-56.12500
11.441,-56.37500
11.642,-56.62500
11.842,-56.62500
12.043,-57.12500
12.244,-57.37500
12.444,-57.75000
12.645,-58.12500
12.846,-58.62500
13.047,-59.25000
13.247,-59.50000
13.448,-60.12500
13.649,-60.62500
13.850,-61.12500
14.050,-61.62500
14.251,-62.12500
14.452,-62.50000
14.652,-63.12500
14.853,-63.62500
15.054,-64.12500
15.254,-64.50000
15.455,-64.87500
15.656,-65.37500
15.856,-66.00000
16.057,-66.25000
16.258,-66.50000
16.458,-67.00000
16.659,-67.37500
16.860,-67.62500
17.060,-68.25000
17.261,-68.50000
17.462,-69.12500
17.662,-69.37500
17.863,-69.62500
