time(s),mvs
0.000,-61.87500
0.101,-62.00000
0.152,-62.12500
0.203,-62.00000
0.253,-62.25000
0.304,-62.50000
0.360,-62.62500
0.411,-62.75000
0.462,-62.75000
0.512,-63.00000
0.563,-62.87500
0.614,-63.12500
0.665,-63.50000
0.716,-63.62500
0.767,-63.87500
0.820,-64.00000
0.870,-63.75000
0.921,63.25000
0.972,250.12500
1.023,290.12500
1.074,309.75000
1.125,319.62500
1.175,322.87500
1.226,319.12500
1.277,314.75000
1.328,313.62500
1.378,308.25000
1.429,313.37500
1.480,313.50000
1.530,306.25000
1.581,305.87500
1.632,304.12500
1.682,313.87500
1.733,324.87500
1.784,325.37500
1.835,321.87500
1.887,321.25000
1.938,321.25000
1.989,317.12500
2.040,310.25000
2.090,305.87500
2.141,309.37500
2.192,311.62500
2.243,306.75000
2.294,302.75000
2.344,298.37500
2.395,294.00000
2.446,289.00000
2.497,283.75000
2.547,279.62500
2.598,274.62500
2.650,270.25000
2.701,265.12500
2.753,260.37500
2.804,256.12500
2.855,251.12500
2.905,247.25000
2.956,243.50000
3.007,239.37500
3.058,236.00000
3.109,232.25000
3.160,229.00000
3.210,225.75000
3.261,223.00000
3.312,220.12500
3.362,217.75000
3.413,214.62500
3.464,212.50000
3.515,210.12500
3.566,208.25000
3.617,206.25000
3.667,204.62500
3.720,202.75000
3.771,201.25000
3.821,199.37500
3.872,198.12500
3.923,196.62500
3.974,195.37500
4.025,194.25000
4.076,193.12500
4.127,191.87500
4.178,191.00000
4.228,190.00000
4.279,188.75000
4.330,188.00000
4.381,187.00000
4.432,186.12500
4.485,185.37500
4.536,184.87500
4.586,184.25000
4.637,183.50000
4.688,182.62500
4.740,181.75000
4.791,181.37500
4.842,180.75000
4.892,180.25000
4.943,179.62500
4.994,179.37500
5.045,178.87500
5.095,178.25000
5.146,177.87500
5.197,177.25000
5.248,176.87500
5.299,176.50000
5.351,176.00000
5.402,176.00000
5.453,175.50000
5.503,175.25000
5.554,174.87500
5.605,174.25000
5.655,174.00000
5.706,173.50000
5.757,173.25000
5.808,173.25000
5.859,172.87500
5.910,172.37500
5.960,172.25000
6.011,172.00000
6.062,171.50000
6.113,171.37500
6.163,171.00000
6.214,170.87500
6.265,170.62500
6.316,170.37500
6.369,170.37500
6.420,170.00000
6.471,169.62500
6.521,169.62500
6.572,169.12500
6.623,169.00000
6.674,168.75000
6.724,168.62500
