time(s),mvs
0.000,-1481.00000
0.051,-97.75000
0.101,-97.62500
0.152,-97.75000
0.203,-97.75000
0.253,-97.75000
0.304,-97.87500
0.354,-97.50000
0.405,-97.50000
0.456,-97.62500
0.506,-97.50000
0.557,-97.50000
0.608,-97.62500
0.658,-97.62500
0.709,-97.75000
0.760,-97.75000
0.810,-97.50000
0.861,-97.50000
0.911,-97.50000
0.962,-97.37500
1.013,-97.50000
1.063,-97.50000
1.114,-97.50000
1.165,-97.75000
1.215,-97.75000
1.266,-97.37500
1.316,-97.50000
1.367,-97.50000
1.418,-97.37500
1.468,-97.50000
1.519,-97.50000
1.570,-97.50000
1.620,-97.62500
1.671,-88.00000
1.721,-35.37500
1.772,-31.62500
1.823,-37.25000
1.873,-41.75000
1.924,-45.50000
1.975,-47.75000
2.025,-49.37500
2.076,-50.62500
2.127,-51.25000
2.177,-51.50000
2.228,-51.62500
2.279,-51.50000
2.329,-51.37500
2.380,-51.25000
2.431,-51.00000
2.481,-50.50000
2.532,-50.00000
2.583,-49.62500
2.633,-48.87500
2.684,-48.37500
2.735,-47.87500
2.785,-47.37500
2.836,-47.12500
2.887,-46.50000
2.937,-46.25000
2.988,-45.87500
3.038,-45.50000
3.089,-44.75000
3.140,-44.75000
3.190,-44.37500
3.241,-44.12500
3.292,-44.12500
3.342,-43.87500
3.393,-43.87500
3.444,-43.87500
3.494,-43.50000
3.545,-43.62500
3.596,-43.62500
3.646,-43.75000
3.697,-43.75000
3.748,-44.00000
3.798,-44.00000
3.849,-44.25000
3.900,-44.50000
3.950,-44.37500
4.001,-44.62500
4.052,-44.75000
4.102,-44.87500
4.153,-44.87500
4.203,-45.37500
4.254,-45.62500
4.305,-45.87500
4.355,-46.00000
4.406,-46.00000
4.457,-46.25000
4.507,-46.62500
4.558,-46.75000
4.609,-46.75000
4.659,-47.25000
4.710,-47.50000
4.761,-47.75000
4.811,-47.87500
4.862,-47.87500
4.913,-48.00000
4.963,-48.25000
5.014,-48.25000
5.065,-48.75000
5.116,-48.87500
5.166,-49.00000
5.217,-49.25000
5.268,-49.50000
5.318,-49.50000
5.369,-49.62500
5.420,-49.75000
5.470,-49.87500
5.521,-50.25000
5.572,-50.50000
5.622,-50.62500
5.673,-50.75000
5.724,-50.87500
5.774,-50.87500
5.825,-51.25000
5.876,-51.12500
5.926,-51.37500
5.977,-51.62500
6.028,-51.75000
6.078,-51.87500
6.129,-52.00000
6.180,-52.00000
6.231,-52.12500
6.282,-52.37500
6.332,-52.50000
6.383,-52.75000
6.434,-53.12500
6.485,-53.12500
6.535,-53.50000
6.586,-53.50000
6.637,-53.37500
6.688,-53.62500
6.738,-53.62500
6.789,-53.75000
6.840,-54.12500
6.891,-54.25000
6.941,-54.25000
6.992,-54.62500
7.043,-54.62500
7.093,-54.50000
7.144,-54.75000
7.195,-54.62500
7.246,-54.87500
