time(s),mvs
0.000,-1481.00000
0.051,351.12500
0.101,351.25000
0.152,352.62500
0.203,353.75000
0.253,351.00000
0.304,349.37500
0.354,351.37500
0.405,350.00000
0.456,350.00000
0.506,350.00000
0.557,349.62500
0.608,349.62500
0.658,348.75000
0.709,348.75000
0.759,350.50000
0.810,350.75000
0.861,350.00000
0.911,354.62500
0.962,338.37500
1.013,351.50000
1.063,360.50000
1.114,295.87500
1.165,295.00000
1.215,292.00000
1.266,291.37500
1.317,291.12500
1.367,292.00000
1.418,292.62500
1.469,293.75000
1.519,295.50000
1.570,295.50000
1.621,296.25000
1.671,296.75000
1.722,297.50000
1.773,297.87500
1.823,298.50000
1.874,299.50000
1.925,300.00000
1.976,300.37500
2.026,301.50000
2.077,302.37500
2.128,302.87500
2.178,304.12500
2.229,304.62500
2.280,306.12500
2.330,307.00000
2.381,308.50000
2.432,308.62500
2.482,308.87500
2.533,310.12500
2.584,311.62500
2.635,312.87500
2.685,313.37500
2.736,313.87500
2.787,313.87500
2.837,314.12500
2.888,315.00000
2.939,315.62500
2.989,315.12500
3.040,316.25000
3.091,315.75000
3.238,316.25000
3.289,316.25000
3.339,316.62500
3.390,316.62500
3.441,316.75000
3.491,316.25000
3.542,316.37500
3.593,317.25000
3.643,316.50000
3.694,316.75000
3.745,317.12500
3.796,317.75000
3.846,318.00000
3.897,318.00000
3.948,318.00000
3.998,318.37500
4.049,318.37500
4.100,318.25000
4.150,318.75000
4.201,318.62500
4.252,319.00000
4.302,319.50000
4.353,319.50000
4.404,319.50000
4.454,319.25000
4.505,319.37500
4.556,319.37500
4.607,319.50000
4.657,319.37500
4.708,319.12500
4.759,319.37500
4.809,319.37500
4.860,319.00000
4.911,318.87500
4.962,318.75000
5.012,318.75000
5.063,319.50000
5.114,319.00000
5.164,319.00000
5.215,319.37500
5.266,319.25000
5.317,319.12500
5.367,319.12500
5.418,319.12500
5.469,319.25000
5.520,319.50000
5.570,319.25000
5.621,319.37500
5.672,319.37500
5.722,319.50000
5.773,319.37500
5.824,319.25000
5.875,319.25000
5.925,319.50000
5.976,319.50000
6.027,319.62500
6.078,319.50000
6.128,319.62500
6.179,319.50000
6.230,319.50000
6.280,319.37500
6.331,319.50000
6.382,319.62500
6.433,319.62500
6.483,319.50000
6.534,319.25000
6.585,319.37500
6.636,319.25000
6.686,319.50000
6.737,319.37500
6.788,319.37500
6.838,319.12500
6.889,319.00000
6.940,319.12500
6.991,319.12500
7.041,319.25000
7.092,319.75000
7.143,320.12500
7.193,320.00000
7.244,320.12500
7.295,320.00000
7.346,320.00000
7.396,319.75000
7.447,320.37500
7.498,319.87500
7.549,319.75000
7.599,319.87500
7.650,319.75000
7.701,319.62500
7.751,319.62500
7.802,319.50000
7.853,319.62500
7.904,319.50000
7.954,319.87500
8.005,319.87500
8.056,319.62500
8.106,319.75000
8.157,319.62500
8.208,320.00000
