time(s),mvs
0.000,-1483.00000
0.201,-96.75000
0.401,-97.12500
0.602,-97.25000
0.803,-97.00000
1.003,-97.00000
1.204,-97.37500
1.405,-97.50000
1.605,-97.37500
1.806,-97.62500
2.007,-97.75000
2.207,-97.62500
2.408,-97.37500
2.609,-97.62500
2.809,-97.62500
3.010,-97.75000
3.210,-98.00000
3.411,-97.75000
3.612,-97.75000
3.812,-98.25000
4.013,-97.25000
4.214,-82.62500
4.414,-64.62500
4.615,-45.87500
4.816,-27.87500
5.017,-13.25000
5.217,-0.62500
5.418,13.12500
5.619,23.75000
5.820,31.25000
6.020,38.00000
6.221,43.75000
6.422,48.75000
6.622,53.75000
6.823,58.87500
7.024,64.50000
7.225,69.87500
7.425,75.50000
7.626,82.37500
7.827,88.62500
8.028,94.25000
8.228,98.25000
8.429,101.75000
8.630,105.00000
8.831,108.12500
9.031,110.37500
9.232,112.50000
9.433,114.37500
9.634,115.87500
9.834,117.12500
10.035,118.25000
10.236,119.12500
10.437,120.00000
10.637,120.62500
10.838,120.75000
11.039,121.00000
11.239,121.50000
11.440,121.62500
11.641,121.50000
11.842,121.75000
12.042,122.50000
12.243,122.37500
12.444,122.50000
12.645,122.87500
12.845,123.00000
13.046,122.87500
13.247,123.00000
13.448,122.87500
13.648,122.87500
13.849,123.25000
14.050,122.87500
14.251,122.75000
14.451,122.87500
14.652,122.75000
14.853,122.37500
15.054,122.25000
15.254,122.62500
15.455,122.00000
15.656,121.87500
15.856,122.00000
16.057,121.75000
16.258,121.50000
16.459,121.25000
16.659,121.00000
16.860,120.87500
17.061,120.87500
17.262,120.37500
17.462,120.37500
17.663,120.50000
17.864,120.12500
18.065,119.62500
18.265,119.37500
18.466,119.50000
18.667,118.62500
18.868,118.50000
19.068,118.37500
19.269,117.87500
19.470,117.50000
19.671,117.25000
19.871,117.12500
20.072,116.87500
20.273,116.25000
20.474,115.87500
20.674,115.50000
20.875,115.50000
21.076,115.12500
21.277,114.37500
21.477,114.12500
21.678,114.12500
21.879,113.37500
22.080,113.00000
22.280,112.75000
22.481,112.37500
22.682,111.75000
22.882,111.37500
23.083,111.12500
23.284,110.75000
23.485,110.12500
23.685,109.75000
23.886,109.25000
24.087,109.00000
24.287,108.75000
24.488,107.75000
24.689,107.37500
24.890,107.12500
25.090,106.87500
25.291,106.00000
25.492,105.75000
25.692,105.37500
25.893,104.50000
26.094,104.12500
26.294,103.87500
26.495,103.37500
26.696,102.87500
26.896,102.25000
27.097,101.87500
27.298,101.50000
27.498,100.87500
27.699,100.00000
27.900,99.62500
28.100,99.50000
28.301,98.87500
28.502,98.00000
28.703,97.62500
28.903,97.50000
29.104,96.75000
29.305,96.25000
29.505,96.00000
29.706,95.25000
29.907,94.75000
30.107,94.12500
30.308,93.62500
30.509,93.12500
30.709,92.75000
30.910,91.87500
31.111,91.37500
31.312,91.50000
31.512,90.87500
31.713,89.75000
31.914,89.25000
32.115,89.00000
32.316,88.25000
32.516,87.75000
32.717,87.50000
32.918,86.87500
33.119,86.25000
33.319,85.75000
33.520,85.12500
33.721,84.62500
33.921,84.25000
34.122,83.37500
34.322,83.00000
34.523,82.75000
34.724,82.25000
34.924,81.25000
35.125,80.87500
35.326,80.62500
35.527,80.00000
35.727,79.00000
35.928,78.50000
36.128,78.37500
36.329,77.62500
36.530,77.25000
36.731,76.87500
36.931,76.37500
37.132,76.00000
37.333,75.37500
37.533,74.87500
37.734,74.37500
37.934,74.25000
38.135,73.50000
38.336,73.12500
38.537,73.00000
38.737,72.50000
38.938,71.75000
39.139,71.50000
39.340,71.50000
39.540,71.00000
39.741,70.37500
39.942,70.12500
40.142,69.75000
40.343,69.50000
40.544,69.12500
40.745,68.50000
40.945,68.25000
41.146,68.12500
41.347,67.50000
41.548,67.00000
41.748,67.12500
41.949,66.75000
42.150,66.00000
42.351,65.75000
42.551,65.62500
42.752,65.37500
42.953,64.87500
43.153,64.62500
43.354,64.37500
43.555,64.12500
43.756,63.75000
43.956,63.25000
44.157,62.87500
44.358,62.87500
44.559,62.37500
44.759,62.12500
44.960,62.37500
45.161,62.12500
45.362,61.37500
45.562,61.00000
45.763,61.12500
45.964,61.00000
46.165,60.50000
46.365,60.25000
46.566,60.00000
46.767,59.75000
46.968,59.62500
47.168,59.12500
47.369,59.00000
47.570,59.12500
47.770,58.87500
47.971,58.25000
48.172,58.37500
48.373,58.25000
48.573,57.62500
48.774,57.50000
48.975,57.87500
49.175,57.50000
49.376,57.12500
49.577,57.12500
49.778,57.00000
49.978,56.87500
50.179,56.62500
50.380,56.25000
50.580,56.12500
50.781,56.25000
50.982,56.12500
51.182,55.62500
51.383,55.87500
51.584,55.75000
51.784,55.25000
51.985,55.25000
52.186,55.37500
52.387,55.25000
52.587,54.87500
52.788,54.87500
52.989,54.62500
53.189,54.62500
53.390,54.37500
53.591,54.12500
53.791,54.12500
53.992,54.25000
54.193,54.12500
54.393,53.62500
54.594,53.37500
