time(s),mvs,
0.000,-89.50000,
0.201,-89.50000,
0.401,-89.50000,
0.602,-89.87500,
0.803,-89.62500,
1.003,-89.62500,
1.204,-90.00000,
1.404,-89.12500,
1.605,84.62500,
1.806,155.87500,
2.006,197.62500,
2.207,202.87500,
2.408,218.75000,
2.608,214.75000,
2.809,203.00000,
3.009,199.62500,
3.210,206.75000,
3.411,220.37500,
3.611,218.87500,
3.812,206.37500,
4.013,200.12500,
4.213,193.87500,
4.414,189.50000,
4.614,185.62500,
4.815,181.75000,
5.016,178.87500,
5.216,175.75000,
5.417,173.37500,
5.618,172.12500,
5.818,170.75000,
6.019,168.75000,
6.219,166.75000,
6.420,165.37500,
6.621,163.75000,
6.821,162.25000,
7.022,160.87500,
7.223,159.50000,
7.423,158.50000,
7.624,157.75000,
7.825,156.50000,
8.025,155.50000,
8.226,155.00000,
8.426,154.25000,
8.627,153.75000,
8.828,152.87500,
9.028,152.25000,
9.229,151.75000,
9.430,151.25000,
9.630,150.75000,
9.831,150.00000,
10.032,149.25000,
10.232,148.62500,
10.433,147.87500,
10.634,147.50000,
10.834,147.37500,
11.035,147.12500,
11.236,146.50000,
11.436,146.12500,
11.637,145.75000,
11.837,145.12500,
12.038,144.75000,
12.239,144.00000,
12.439,143.37500,
12.640,142.87500,
12.841,142.12500,
13.041,141.62500,
13.242,140.87500,
13.443,140.37500,
13.643,139.50000,
13.844,138.75000,
14.044,137.87500,
14.245,137.37500,
14.446,136.62500,
14.646,136.00000,
14.847,135.50000,
15.048,134.50000,
15.248,133.87500,
15.449,132.87500,
15.650,132.25000,
15.850,131.62500,
16.051,130.75000,
16.251,130.12500,
16.452,129.37500,
16.653,128.62500,
16.853,128.00000,
17.054,127.25000,
17.255,126.50000,
17.455,125.75000,
17.656,125.00000,
17.857,124.12500,
18.057,123.50000,
18.258,122.75000,
18.458,122.12500,
18.659,121.37500,
18.860,120.50000,
19.060,120.00000,
19.261,119.25000,
19.462,118.25000,
19.662,117.50000,
19.863,116.75000,
20.064,116.12500,
20.264,115.50000,
20.465,114.50000,
20.665,113.75000,
20.866,113.00000,
21.067,112.25000,
21.267,111.37500,
21.468,110.87500,
21.669,109.87500,
21.869,109.12500,
22.070,108.62500,
22.270,107.25000,
22.471,106.75000,
22.672,105.87500,
22.872,105.12500,
23.073,104.25000,
23.274,103.37500,
23.474,102.62500,
23.675,102.00000,
23.876,101.25000,
24.076,100.00000,
24.277,99.50000,
24.477,98.62500,
24.678,97.62500,
24.879,97.00000,
25.079,96.25000,
25.280,95.37500,
25.481,94.62500,
25.681,93.62500,
25.882,93.00000,
26.083,92.00000,
26.283,91.12500,
26.484,90.12500,
26.685,89.50000,
26.885,88.62500,
27.086,87.75000,
27.286,87.00000,
27.487,86.00000,
27.688,85.12500,
27.888,84.25000,
28.089,83.25000,
28.290,82.37500,
28.490,81.75000,
28.691,80.75000,
28.892,79.87500,
29.092,79.25000,
29.293,78.00000,
29.493,77.12500,
29.694,76.25000,
29.895,75.37500,
30.095,74.50000,
30.296,73.50000,
30.497,72.62500,
30.697,71.75000,
30.898,70.75000,
31.099,69.87500,
31.299,68.75000,
31.500,68.00000,
31.700,67.00000,
31.901,66.00000,
32.102,65.12500,
32.302,64.12500,
32.503,63.37500,
32.704,62.25000,
32.904,61.37500,
33.105,60.50000,
33.306,59.37500,
33.506,58.50000,
33.707,57.50000,
33.907,56.75000,
34.108,55.75000,
34.309,54.87500,
34.509,53.75000,
34.710,52.87500,
34.911,52.00000,
35.111,51.00000,
35.312,50.00000,
35.513,49.25000,
35.713,48.37500,
35.914,47.25000,
36.114,46.25000,
36.315,45.37500,
36.516,44.62500,
36.716,43.50000,
36.917,42.62500,
37.118,41.75000,
37.318,40.75000,
37.519,39.87500,
37.720,39.12500,
37.920,38.00000,
38.121,37.12500,
