time(s),mvs
0.000,-1483.00000
0.201,317.87500
0.401,318.00000
0.602,318.00000
0.803,318.00000
1.003,318.12500
1.204,318.12500
1.405,318.12500
1.605,318.12500
1.806,318.12500
2.007,318.25000
2.207,318.25000
2.408,318.37500
2.608,318.25000
2.809,318.25000
3.010,318.50000
3.210,318.50000
3.411,318.62500
3.612,318.75000
3.812,318.50000
4.013,318.62500
4.214,318.62500
4.414,318.62500
4.615,318.62500
4.816,318.75000
5.016,318.62500
5.217,318.75000
5.418,318.75000
5.618,318.62500
5.819,318.87500
6.020,318.87500
6.220,318.87500
6.421,319.00000
6.622,318.75000
6.822,318.87500
7.023,319.12500
7.224,318.87500
7.424,318.87500
7.625,319.25000
7.826,319.00000
8.027,319.25000
8.227,319.25000
8.428,319.25000
8.629,319.12500
8.829,319.50000
9.030,320.12500
9.231,319.12500
9.431,319.25000
9.632,319.50000
9.833,319.25000
