time(s),mvs
0.000,-9.50000
0.051,-9.50000
0.101,-9.50000
0.152,-9.50000
0.203,-9.50000
0.253,-9.37500
0.304,-9.37500
0.355,-9.37500
0.405,-9.37500
0.456,-9.37500
0.507,-9.50000
0.557,-9.50000
0.608,-9.50000
0.658,-9.50000
0.709,-9.37500
0.760,-9.37500
0.810,-9.50000
0.861,-9.25000
0.912,-9.25000
0.962,-9.37500
1.013,-9.25000
1.064,-9.25000
1.114,-9.12500
1.165,-9.25000
1.216,-9.00000
1.266,-8.87500
1.317,27.00000
1.367,90.62500
1.418,139.50000
1.469,202.62500
1.519,261.62500
1.570,286.00000
1.621,299.37500
1.743,316.87500
1.794,321.62500
1.845,324.00000
1.895,326.37500
1.946,329.50000
1.997,331.50000
2.047,333.50000
2.098,335.00000
2.149,336.00000
2.199,336.25000
2.250,336.37500
2.301,336.87500
2.351,337.50000
2.402,337.87500
2.453,338.12500
2.503,338.87500
2.554,339.50000
2.604,340.12500
2.655,340.62500
2.706,340.87500
2.756,341.00000
2.807,340.75000
2.858,340.25000
2.908,339.37500
2.959,338.50000
3.009,337.62500
3.060,336.75000
3.111,336.12500
3.161,335.50000
3.212,334.87500
3.263,334.25000
3.313,333.75000
3.364,333.37500
3.415,333.00000
3.465,332.62500
3.516,332.00000
3.566,331.37500
3.617,330.75000
3.668,330.12500
3.718,329.25000
3.769,328.62500
3.820,328.00000
3.870,327.37500
3.921,326.62500
3.972,326.00000
4.022,325.37500
4.073,324.62500
4.123,324.00000
4.174,323.50000
4.225,322.62500
4.275,322.25000
4.326,321.75000
4.377,321.25000
4.427,320.62500
4.478,320.12500
4.529,319.75000
4.579,319.50000
4.630,319.00000
4.680,318.50000
4.731,318.12500
4.782,317.62500
4.832,317.00000
4.883,316.50000
4.934,316.00000
4.984,315.37500
5.035,315.00000
5.085,314.12500
5.136,313.62500
5.187,313.00000
5.237,312.37500
5.288,311.75000
5.339,310.87500
5.389,310.25000
5.440,309.50000
5.491,308.87500
5.541,308.25000
5.592,307.87500
5.643,306.87500
5.693,306.50000
5.744,305.75000
5.795,305.25000
5.846,304.62500
5.896,304.00000
5.947,303.37500
5.998,302.87500
6.048,302.37500
6.099,301.62500
6.150,301.12500
6.200,300.62500
6.251,300.25000
6.302,299.50000
6.353,298.87500
6.403,298.37500
6.454,297.75000
6.505,297.00000
6.555,296.50000
6.606,295.75000
6.657,295.12500
6.708,294.50000
6.758,293.87500
6.809,293.25000
6.860,292.50000
6.910,292.00000
6.961,291.50000
7.012,290.75000
7.063,290.25000
7.113,289.37500
7.164,288.87500
7.215,288.12500
7.265,287.62500
7.316,287.00000
7.367,286.37500
7.417,285.75000
7.468,285.37500
7.519,284.75000
7.570,284.12500
7.620,283.62500
7.671,283.00000
7.722,282.25000
7.772,281.62500
7.823,281.00000
7.874,280.25000
7.925,279.75000
7.975,278.87500
8.026,278.37500
8.077,277.62500
8.127,277.12500
8.178,276.50000
8.229,275.87500
8.279,275.12500
8.330,274.37500
8.381,274.00000
8.431,273.12500
8.482,272.62500
8.533,271.75000
8.583,271.37500
8.634,270.50000
8.685,269.87500
8.735,269.25000
8.786,268.62500
8.837,267.87500
8.888,267.12500
8.938,266.50000
8.989,266.00000
9.039,265.37500
9.090,264.62500
9.141,264.00000
9.191,263.37500
9.242,262.87500
9.293,262.25000
9.343,261.75000
9.394,261.00000
9.445,260.25000
9.495,259.75000
9.546,259.00000
9.597,258.37500
9.647,257.62500
9.698,257.12500
9.748,256.62500
9.799,255.87500
9.850,255.25000
9.900,254.50000
9.951,254.00000
10.002,253.25000
10.052,252.62500
10.103,251.87500
10.154,251.62500
10.204,250.62500
10.255,250.00000
10.306,249.37500
10.356,248.75000
10.407,248.25000
10.457,247.50000
10.508,246.87500
10.559,246.62500
10.609,245.75000
10.660,245.12500
10.711,244.62500
10.761,244.12500
10.812,243.50000
10.863,242.87500
10.913,242.12500
10.964,241.75000
11.015,241.12500
11.065,240.62500
11.116,240.00000
11.167,239.37500
11.217,238.87500
11.268,238.25000
11.319,237.62500
11.369,237.00000
11.420,236.50000
11.470,235.87500
11.521,235.25000
11.572,234.75000
11.622,234.12500
11.673,233.50000
11.724,233.00000
11.774,232.50000
11.825,231.87500
11.876,231.37500
11.926,230.75000
11.977,230.37500
12.028,229.62500
12.078,229.12500
12.129,228.62500
12.180,228.00000
12.230,227.50000
12.281,226.87500
12.331,226.50000
12.382,225.87500
12.433,225.37500
12.483,224.87500
12.534,224.37500
12.585,223.75000
12.635,223.25000
12.686,222.87500
12.737,222.50000
12.787,221.87500
12.838,221.25000
12.889,220.75000
12.939,220.12500
12.990,219.75000
13.040,219.37500
13.091,218.87500
13.142,218.25000
13.192,217.75000
13.243,217.25000
13.294,216.87500
13.344,216.37500
13.395,215.87500
13.446,215.37500
13.496,215.00000
13.547,214.62500
13.597,214.00000
13.648,213.50000
13.699,213.25000
13.749,212.87500
13.800,212.37500
13.851,211.87500
13.901,211.62500
13.952,211.12500
14.002,210.75000
14.053,210.25000
14.104,209.75000
14.154,209.37500
14.205,208.87500
14.256,208.50000
14.306,208.00000
14.357,207.62500
14.408,207.00000
14.458,206.75000
14.509,206.25000
14.560,205.87500
14.610,205.12500
14.661,204.87500
14.711,204.50000
14.762,204.00000
14.813,203.62500
14.863,203.12500
14.914,202.75000
14.965,202.37500
15.015,202.00000
15.066,201.50000
15.117,201.12500
15.167,200.62500
15.218,200.25000
15.269,199.87500
15.319,199.62500
15.370,199.00000
15.420,198.62500
15.471,198.25000
15.522,197.87500
15.572,197.75000
15.623,197.12500
15.674,196.62500
15.724,196.37500
15.775,195.87500
15.826,195.50000
15.876,195.00000
15.927,194.75000
15.978,194.25000
16.028,193.87500
16.079,193.50000
16.130,193.12500
16.181,192.87500
16.231,192.37500
16.282,192.12500
16.333,191.75000
16.384,191.37500
16.434,190.87500
16.485,190.62500
16.536,190.25000
16.587,190.37500
16.637,189.37500
16.688,189.00000
16.739,188.62500
16.790,188.12500
16.840,187.87500
16.891,187.25000
16.942,187.12500
16.993,186.62500
17.043,186.25000
17.094,185.75000
17.145,185.62500
17.195,185.12500
17.246,184.87500
17.297,184.50000
17.348,184.25000
17.398,183.75000
17.449,183.50000
17.500,183.00000
17.551,182.62500
17.601,182.25000
17.652,182.00000
17.703,181.62500
17.754,181.25000
17.804,181.00000
17.855,180.62500
17.906,180.25000
17.957,180.00000
18.007,179.62500
18.058,179.25000
18.109,179.00000
18.160,178.50000
18.210,178.25000
18.261,177.87500
18.312,177.50000
18.362,177.37500
18.413,177.00000
18.463,176.50000
18.514,176.25000
18.565,176.00000
18.615,175.62500
18.666,175.25000
18.717,175.00000
18.767,174.50000
18.818,174.37500
18.869,174.00000
18.919,173.62500
18.970,173.25000
19.020,173.00000
19.071,172.62500
19.122,172.37500
19.172,172.00000
19.223,171.75000
19.274,171.50000
19.324,171.12500
19.375,170.87500
19.426,170.37500
19.476,170.25000
19.527,169.87500
19.578,169.50000
19.628,169.12500
19.679,168.87500
19.729,168.50000
19.780,168.25000
19.831,167.87500
19.881,167.50000
19.932,167.25000
19.983,166.87500
20.033,166.62500
20.084,166.37500
20.135,165.87500
20.185,165.50000
20.236,165.50000
20.287,165.12500
20.337,164.87500
20.388,164.50000
20.438,164.12500
20.489,163.87500
20.540,163.62500
20.590,163.37500
20.641,162.87500
20.692,162.62500
20.742,162.37500
20.793,162.12500
20.844,161.87500
20.894,161.50000
20.945,161.25000
20.996,160.87500
21.046,160.62500
21.097,160.37500
21.148,160.00000
21.198,159.75000
21.249,159.37500
21.300,159.25000
21.351,158.87500
21.401,158.75000
21.452,158.00000
21.503,158.12500
21.553,157.87500
21.604,157.62500
21.655,157.25000
21.705,157.12500
21.756,156.87500
21.807,156.50000
21.857,156.25000
21.908,156.00000
21.959,155.62500
22.009,155.50000
22.060,155.25000
22.111,154.75000
22.161,154.62500
22.212,154.25000
22.262,154.12500
22.313,153.87500
22.364,153.62500
22.414,153.37500
22.465,153.12500
22.516,152.75000
22.566,152.50000
22.617,152.37500
22.668,152.12500
22.718,151.87500
22.769,151.62500
22.820,151.50000
22.870,151.37500
22.921,151.12500
22.972,150.87500
23.022,150.75000
23.073,150.50000
23.123,150.25000
23.174,150.12500
23.225,150.00000
23.275,149.75000
23.326,149.50000
23.377,149.12500
23.427,149.12500
23.478,148.75000
23.529,148.37500
23.580,148.12500
23.630,148.00000
23.681,147.75000
23.732,147.37500
23.782,147.25000
23.833,147.00000
23.884,146.75000
23.934,146.50000
23.985,146.37500
24.036,146.00000
24.086,146.00000
24.137,145.62500
24.188,145.37500
24.239,145.25000
24.289,145.00000
24.340,144.75000
24.391,144.62500
24.441,144.25000
24.492,144.12500
24.543,144.00000
24.594,143.50000
24.644,143.25000
24.695,143.00000
24.746,142.87500
24.797,142.50000
24.847,142.25000
24.898,142.00000
24.949,141.87500
24.999,141.62500
25.050,141.37500
25.101,141.12500
25.152,141.12500
25.202,140.87500
25.253,140.62500
25.304,140.37500
25.355,140.25000
25.405,140.00000
25.456,139.87500
25.507,139.62500
25.558,139.37500
25.608,139.25000
25.659,139.12500
25.710,138.75000
25.761,138.37500
25.811,138.25000
25.862,138.00000
25.913,137.75000
25.964,137.62500
26.014,137.25000
26.065,137.12500
26.116,136.87500
26.167,136.62500
26.217,136.12500
26.268,136.00000
26.319,135.87500
26.369,135.62500
26.420,135.50000
26.471,135.12500
26.522,135.00000
26.572,134.87500
26.623,134.75000
26.674,134.25000
26.725,134.12500
26.775,134.00000
26.826,133.75000
26.877,133.37500
26.928,133.12500
26.978,133.00000
27.029,132.75000
27.080,132.50000
27.130,132.25000
27.181,132.12500
27.232,131.87500
27.283,131.75000
27.333,131.37500
27.384,131.25000
27.435,131.00000
27.486,130.87500
27.536,130.50000
27.587,130.37500
27.638,130.12500
27.689,130.00000
27.739,129.75000
27.790,129.62500
27.841,129.50000
27.892,129.12500
27.942,128.87500
27.993,128.75000
28.044,128.50000
28.094,128.37500
28.145,128.12500
28.196,127.75000
28.247,127.50000
28.297,127.37500
28.348,127.25000
28.399,127.12500
28.450,126.87500
28.500,126.62500
28.551,126.37500
28.602,126.12500
28.653,126.00000
28.703,125.75000
28.754,125.37500
28.805,125.25000
28.856,125.12500
28.906,124.87500
28.957,124.75000
29.008,124.37500
29.059,124.25000
29.109,124.00000
29.160,123.75000
29.211,123.50000
29.262,123.37500
29.312,123.25000
29.363,123.12500
29.414,122.87500
29.465,122.62500
29.515,122.37500
29.566,122.25000
29.617,122.00000
29.667,121.87500
29.718,121.62500
29.769,121.50000
29.820,121.25000
29.870,121.12500
29.921,121.12500
29.972,120.62500
30.023,120.62500
30.073,120.37500
30.124,120.25000
30.175,119.87500
30.226,119.75000
30.276,119.75000
30.327,119.62500
30.378,119.50000
30.429,119.25000
30.479,119.12500
30.530,118.87500
30.581,118.75000
30.632,118.62500
30.682,118.37500
30.733,118.25000
30.784,118.25000
30.834,118.00000
30.885,117.75000
30.936,117.75000
30.987,117.50000
31.037,117.50000
31.088,117.25000
31.139,117.12500
31.189,117.00000
31.240,116.87500
31.291,116.75000
31.342,116.62500
31.392,116.50000
31.443,116.25000
31.494,116.12500
31.545,116.00000
31.595,115.62500
31.646,115.50000
31.697,115.50000
31.748,115.25000
31.798,115.00000
31.849,115.00000
31.900,114.87500
31.951,114.50000
32.001,114.37500
32.052,114.25000
32.103,114.12500
32.154,114.00000
32.204,113.87500
32.255,113.62500
32.306,113.50000
32.357,113.25000
32.407,113.12500
32.458,112.87500
32.509,112.75000
32.559,112.62500
32.610,112.37500
32.661,112.25000
32.712,112.00000
32.762,111.87500
32.813,111.62500
32.864,111.50000
32.915,111.37500
32.965,111.25000
33.016,111.00000
33.067,110.87500
33.118,110.75000
33.168,110.62500
33.219,110.25000
33.270,110.12500
33.321,110.00000
33.371,109.75000
33.422,109.62500
33.473,109.25000
33.523,109.25000
33.574,109.12500
33.625,108.87500
33.676,108.62500
33.726,108.50000
33.777,108.37500
33.828,108.12500
33.879,108.00000
33.929,107.87500
33.980,107.75000
