time(s),mvs
0.000,-1234.50000
0.201,-1234.62500
0.402,-1234.62500
0.602,-1234.62500
0.803,-1234.75000
1.004,-1234.87500
1.204,-1235.00000
1.405,-1235.00000
1.606,-1235.00000
1.806,-1235.12500
2.007,-1235.25000
2.207,-1235.25000
2.408,-1235.37500
2.609,-1235.37500
2.809,-1235.37500
3.010,-1235.50000
3.211,-1235.50000
3.411,-1235.62500
3.612,-1235.62500
3.812,-1235.62500
4.013,-1235.75000
4.214,-1235.75000
4.414,-1235.75000
4.615,-1235.75000
4.816,-1235.87500
5.016,-1235.87500
5.217,-1236.00000
5.418,-1236.12500
5.618,-1236.00000
5.819,-1236.12500
6.019,-1236.12500
6.220,-1236.25000
6.421,-1236.25000
6.621,-1236.25000
6.822,-1236.25000
7.023,-1236.25000
7.223,-1236.37500
7.424,-1236.37500
7.625,-1236.37500
7.825,-1236.50000
8.026,-1236.50000
8.227,-1236.50000
8.427,-1236.50000
8.628,-1236.50000
8.829,-1236.62500
9.029,-1236.62500
9.230,-1236.62500
9.431,-1236.75000
9.631,-1236.75000
9.832,-1236.75000
10.033,-1236.75000
10.233,-1236.87500
10.434,-1236.75000
10.635,-1236.87500
10.835,-1236.75000
11.036,-1236.87500
11.237,-1236.87500
11.437,-1236.87500
11.638,-1236.87500
11.839,-1237.00000
12.039,-1236.87500
12.240,-1236.87500
12.441,-1237.00000
12.641,-1237.00000
12.842,-1236.87500
13.042,-1236.87500
13.243,-1237.00000
13.444,-1237.12500
13.644,-1237.00000
13.845,-1237.12500
14.046,-1237.12500
14.246,-1237.12500
14.447,-1237.25000
14.648,-1237.12500
14.848,-1237.25000
15.049,-1237.25000
15.250,-1237.25000
15.450,-1237.25000
15.651,-1237.25000
15.852,-1237.25000
16.052,-1237.25000
16.253,-1237.25000
16.454,-1237.25000
16.654,-1237.25000
16.855,-1237.25000
17.056,-1237.25000
17.256,-1237.37500
17.457,-1237.37500
17.658,-1237.37500
17.858,-1237.37500
18.059,-1237.37500
18.260,-1237.37500
18.460,-1237.50000
18.661,-1237.50000
18.862,-1237.50000
19.062,-1237.37500
19.263,-1237.37500
19.464,-1237.37500
19.664,-1237.50000
19.865,-1237.37500
20.066,-1237.37500
20.266,-1237.50000
20.467,-1237.37500
20.668,-1237.50000
20.868,-1237.50000
21.069,-1237.50000
21.270,-1237.50000
21.470,-1237.50000
21.671,-1237.62500
21.872,-1237.50000
22.072,-1237.62500
22.273,-1237.62500
22.474,-1237.62500
22.674,-1237.62500
22.875,-1237.50000
23.076,-1237.50000
23.276,-1237.50000
23.477,-1237.62500
23.678,-1237.50000
23.878,-1237.50000
24.079,-1237.50000
24.280,-1237.50000
24.480,-1237.50000
24.681,-1237.62500
24.882,-1237.62500
25.082,-1237.62500
25.283,-1237.62500
25.484,-1237.62500
25.685,-1237.62500
25.885,-1237.62500
26.086,-1237.62500
26.287,-1237.50000
26.487,-1237.62500
26.688,-1237.62500
26.889,-1237.62500
27.089,-1237.50000
27.290,-1237.50000
27.491,-1237.62500
27.691,-1237.62500
27.892,-1237.62500
28.093,-1237.62500
28.293,-1237.62500
28.494,-1237.62500
28.695,-1237.62500
28.896,-1237.62500
29.096,-1237.62500
29.297,-1237.75000
29.498,-1237.62500
29.698,-1237.62500
29.899,-1237.75000
30.100,-1237.62500
30.301,-1237.62500
30.501,-1237.75000
30.702,-1237.62500
30.903,-1237.75000
31.104,-1237.62500
31.304,-1237.62500
31.505,-1237.75000
31.706,-1237.75000
31.906,-1237.62500
32.107,-1237.75000
32.308,-1237.75000
32.508,-1237.75000
time(s),mvs
0.000,-1237.87500
0.201,-1237.87500
0.402,-1237.87500
0.603,-1237.87500
0.803,-1237.75000
1.004,-1237.87500
1.205,-1237.87500
1.406,-1237.87500
1.606,-1237.87500
1.807,-1237.87500
2.008,-1237.75000
2.209,-1237.87500
2.409,-1237.87500
2.610,-1237.87500
2.811,-1237.75000
3.012,-1237.87500
3.212,-1237.87500
3.413,-1237.87500
3.614,-1237.75000
3.814,-1237.87500
4.015,-1237.87500
4.216,-1237.87500
4.417,-1237.87500
4.618,-1237.87500
4.818,-1237.87500
5.019,-1238.00000
5.220,-1237.87500
5.421,-1237.75000
5.621,-1200.25000
5.822,-1189.00000
6.023,-1193.00000
6.223,-1196.87500
6.424,-1196.75000
6.625,-1197.12500
6.825,-1197.12500
7.026,-1179.00000
7.226,-1173.00000
7.427,-1175.12500
7.628,-1179.25000
7.828,-1182.37500
8.029,-1184.62500
8.230,-1186.12500
8.430,-1187.25000
8.631,-1188.12500
8.832,-1188.75000
9.032,-1189.25000
9.233,-1189.75000
9.434,-1190.00000
9.634,-1190.25000
9.835,-1190.50000
10.036,-1191.00000
10.236,-1191.25000
10.437,-1191.62500
10.638,-1191.87500
10.838,-1192.37500
11.039,-1192.62500
11.239,-1193.12500
11.440,-1193.37500
11.641,-1193.62500
11.841,-1194.00000
12.042,-1194.37500
12.243,-1194.62500
12.443,-1194.75000
12.644,-1195.00000
12.845,-1195.37500
13.045,-1195.37500
13.246,-1195.62500
13.447,-1195.87500
13.647,-1196.12500
13.848,-1196.25000
14.049,-1196.50000
14.249,-1196.62500
14.450,-1196.87500
14.651,-1197.00000
14.851,-1197.37500
15.052,-1197.62500
15.253,-1197.75000
15.453,-1198.00000
15.654,-1198.12500
15.855,-1198.37500
16.055,-1198.50000
16.256,-1198.75000
16.457,-1198.87500
16.657,-1199.25000
16.858,-1199.50000
17.059,-1199.75000
17.259,-1199.87500
17.460,-1200.12500
17.661,-1200.25000
17.861,-1200.37500
18.062,-1200.75000
18.263,-1200.87500
18.463,-1201.12500
18.664,-1201.37500
18.865,-1201.50000
19.065,-1201.75000
19.266,-1201.87500
19.467,-1202.12500
19.667,-1202.37500
19.868,-1202.75000
20.069,-1202.75000
20.269,-1203.00000
20.470,-1203.25000
20.671,-1203.37500
20.871,-1203.75000
21.072,-1203.87500
21.273,-1204.12500
21.473,-1204.25000
21.674,-1204.50000
21.875,-1204.62500
22.075,-1204.87500
22.276,-1205.25000
22.477,-1205.50000
22.677,-1205.75000
22.878,-1205.87500
23.079,-1206.12500
23.279,-1206.25000
23.480,-1206.37500
23.681,-1206.75000
23.881,-1207.00000
24.082,-1207.25000
24.283,-1207.50000
24.483,-1207.62500
24.684,-1207.87500
24.885,-1208.12500
25.085,-1208.50000
25.286,-1208.62500
25.486,-1208.87500
25.687,-1209.12500
25.888,-1209.37500
26.088,-1209.50000
26.289,-1209.87500
26.490,-1210.12500
26.690,-1210.37500
26.891,-1210.50000
27.092,-1210.87500
27.292,-1211.00000
27.493,-1211.37500
27.694,-1211.62500
27.894,-1211.87500
28.095,-1212.12500
28.296,-1212.37500
28.496,-1212.50000
28.697,-1212.87500
28.898,-1213.12500
29.098,-1213.37500
29.299,-1213.62500
29.500,-1213.87500
29.700,-1214.25000
29.901,-1214.37500
