timestamp_ms,orp_mV
1992,-14
2231,-14
2473,-14
2696,-14
2938,-14
3183,-14
3425,-14
3662,-14
3897,-14
4133,-14
4375,-14
4615,-14
4854,-14
5088,-14
5319,-14
5552,-14
5804,-14
6041,-14
6270,-15
6506,-15
6758,-15
6989,-14
7234,-14
7462,-15
7708,-15
7946,-15
8178,-15
8425,-15
8658,-15
8901,-15
9134,-15
9365,-15
9613,-15
9841,-15
10088,-15
10324,-15
10566,-15
10799,-15
11042,-15
11271,-16
11514,-7
11744,51
11990,86
12222,116
12468,135
12708,159
12947,184
13184,203
13416,221
13659,233
13897,235
14132,235
14371,235
14601,236
14833,237
15086,237
15320,235
15551,236
15801,238
16040,239
16272,239
16512,239
16753,240
16990,240
17226,240
17465,240
17696,240
17935,240
18176,239
18418,239
18655,239
18894,238
19119,237
19368,236
19606,235
19837,235
20069,234
20317,234
20542,234
20790,233
21029,231
21268,230
21507,230
21738,229
21987,228
22224,227
22462,225
22698,225
22936,224
23174,222
23398,221
23649,220
23883,219
24124,218
24363,216
24604,215
24834,214
25077,212
25316,210
25542,210
25792,208
26020,206
26262,205
26502,203
26739,201
26979,200
27220,199
27445,196
27692,195
27932,194
28164,191
28404,190
28646,188
28882,186
29121,184
29355,182
29600,180
29837,179
30075,176
30301,175
30551,172
30781,171
31024,169
31262,167
31493,166
31734,163
31976,161
32211,160
32451,157
32688,156
32931,153
33169,151
33399,149
33639,147
33881,146
34118,143
34356,141
34592,139
34824,137
35071,135
35309,132
35547,130
35771,128
36008,126
36261,123
36496,122
36726,120
36976,117
37215,116
37452,113
37688,112
37925,109
38165,107
38402,106
38641,103
38875,102
39115,99
39353,98
39590,96
39818,93
40066,92
40307,90
40545,88
40777,87
41011,85
41250,83
41485,82
41731,79
41962,78
42208,77
42449,74
42678,73
42917,72
43157,70
43397,69
43637,68
43874,66
44113,64
44338,63
44586,62
44818,60
45058,59
45303,58
45542,56
45779,54
46017,54
46255,53
46477,51
46730,50
46966,49
47203,48
47446,46
47684,45
47920,44
48146,44
48395,43
48633,41
48870,40
49109,39
49346,39
49588,38
49825,36
50057,35
50296,34
50527,34
50773,33
51013,32
51244,31
51488,30
51727,29
51968,29
52192,28
52434,27
52676,26
52916,25
53155,25
53394,24
53631,24
53873,24
54110,23
54347,22
54585,21
54823,20
55060,20
55297,20
55535,19
55773,19
56008,18
56252,17
56485,17
56728,16
56958,15
57200,15
57439,15
57677,15
57915,14
58157,14
58395,14
58632,13
58867,13
59107,12
59345,12
59581,11
59805,11
60053,10
60287,10
60534,10
60760,10
61011,10
61249,10
61487,9
61725,9
61958,9
62197,9
62430,8
62674,8
62911,7
63151,7
63392,7
63626,6
63867,6
64092,6
64339,6
64579,6
64810,5
65053,5
65296,5
65532,5
65756,5
66007,5
66235,5
66484,5
66710,5
66958,5
67196,5
67431,5
67670,4
67914,4
68150,4
68389,4
68626,4
68863,4
69100,4
69339,4
69568,3
69816,3
70049,3
70293,3
70527,3
70765,3
71004,2
71236,2
71475,2
71707,2
71961,2
72197,2
72434,2
72671,1
72902,1
73135,1
73385,1
73622,1
73858,1
74099,1
74340,1
74574,1
74815,1
75052,1
75289,1
75528,0
75764,0
75989,0
76229,0
76477,0
76719,0
76957,0
77194,0
77432,0
77669,0
77906,0
78145,0
78382,0
78623,0
78861,0
79098,0
79335,0
79574,0
79812,0
80048,0
80287,0
80517,0
80757,0
81004,0
81237,0
81477,0
81715,0
81946,0
82190,0
82430,0
82660,0
82904,0
83132,0
83384,0
83618,0
83858,0
84096,0
84323,0
84572,0
84807,0
85045,0
85279,0
85525,0
85761,0
85998,0
86224,31
86465,0
86708,0
86948,0
87179,0
87415,0
87666,0
87904,0
88137,-1
88380,0
88610,0
88850,-1
89090,-1
89335,-1
89569,-1
89808,-1
90047,0
90284,0
90521,0
90755,0
90995,0
91234,-1
91475,-1
91714,-1
91938,-1
92188,-1
92425,-1
92664,-1
92903,-1
93140,-1
93377,-1
93619,-1
93856,-1
94086,-1
94330,-1
94554,-1
94807,-2
95043,-1
95278,-2
95517,-2
95758,-2
95999,-2
96236,-2
96474,-2
96712,-2
96948,-2
97186,-2
97413,-2
97661,-2
97899,-2
98140,-2
98367,-2
98615,-2
98849,-2
99092,-2
99329,-2
99565,-2
99801,-2
100040,-2
100283,-2
100511,-2
100758,-2
100994,-2
101233,-2
101470,-3
101698,-3
101946,-3
102184,-3
102412,-3
102662,-3
102895,-3
103134,-3
103363,-3
103603,-3
103845,-3
104078,-3
104326,-3
104563,-3
104804,-3
105038,-3
105279,-3
105518,-3
105755,-3
105981,-3
106223,-3
106463,-3
106696,-3
106946,-3
107184,-3
107417,-3
107652,-3
107896,-3
108135,-3
108368,-3
108609,-3
108851,-3
109088,-3
109320,-3
109563,-3
109801,-3
110038,-3
110271,-3
110508,-3
110751,-3
110990,-3
111231,-3
111466,-3
111705,-3
111943,-3
112179,-3
112418,-3
