time(s),mvs
0.000,-1481.00000
0.051,-54.75000
0.101,-54.62500
0.152,-54.62500
0.203,-54.62500
0.253,-54.50000
0.304,-54.50000
0.355,-53.87500
0.405,-53.75000
0.456,-53.75000
0.506,-53.62500
0.557,-53.50000
0.608,-53.25000
0.658,-53.37500
0.709,-53.25000
0.760,-52.75000
0.810,-52.50000
0.861,-52.75000
0.912,-52.37500
0.962,-52.37500
1.013,-52.12500
1.063,-52.12500
1.114,-52.12500
1.165,-51.62500
1.215,-51.75000
1.266,-51.50000
1.317,-51.37500
1.367,-51.25000
1.418,-51.25000
1.469,-50.75000
1.519,-50.75000
1.570,-50.62500
1.620,-50.62500
1.739,-50.25000
1.790,-50.25000
1.841,-50.25000
1.891,-49.87500
1.942,-49.62500
1.993,-49.62500
2.043,-49.50000
2.094,-49.37500
2.145,-49.37500
2.195,-49.37500
2.246,-49.12500
2.296,-49.00000
2.347,-49.00000
2.398,-48.62500
2.448,-48.50000
2.499,-48.50000
2.550,-48.37500
2.600,-48.37500
2.651,-48.25000
2.702,-47.87500
2.752,-47.75000
2.803,-47.62500
2.854,-47.75000
2.904,-47.50000
2.955,-47.50000
3.005,-47.37500
3.056,-47.25000
3.107,-47.12500
3.157,-46.75000
3.208,-46.62500
3.259,-46.62500
3.309,-46.62500
3.360,-46.50000
3.411,-46.50000
3.461,-46.25000
3.512,-45.87500
3.563,-45.75000
3.613,-45.75000
3.664,-45.62500
3.715,-45.62500
3.765,-45.62500
3.816,-45.37500
3.866,-45.12500
3.917,-45.00000
3.968,-44.87500
4.018,-44.87500
4.069,-44.75000
4.120,-44.75000
4.170,-44.50000
4.221,-44.37500
4.272,-44.25000
4.322,-43.75000
4.373,-43.87500
4.424,-44.12500
4.474,-43.87500
4.525,-43.87500
4.576,-43.75000
4.626,-43.25000
4.677,-43.25000
4.728,-43.25000
4.778,-43.12500
4.829,-43.00000
4.880,-43.12500
4.930,-43.00000
4.981,-42.75000
5.032,-42.50000
5.082,-42.37500
5.133,-42.37500
5.184,-42.37500
5.234,-42.25000
5.285,-42.25000
5.336,-42.00000
5.386,-41.87500
5.437,-41.50000
5.488,-41.37500
5.538,-41.50000
5.589,-41.37500
5.640,-41.37500
5.690,-41.25000
5.741,-40.87500
5.792,-40.87500
5.842,-41.00000
5.893,-40.62500
5.944,-40.62500
5.994,-40.62500
6.045,-40.50000
6.096,-40.50000
6.146,-40.37500
6.197,-40.12500
6.248,-39.87500
6.298,-40.00000
6.349,-39.87500
6.400,-39.75000
6.450,-39.75000
6.501,-39.62500
6.552,-39.25000
6.602,-39.37500
6.653,-39.12500
6.704,-39.12500
6.754,-39.25000
