time(s),mvs
0.000,-1483.00000
0.166,473.25000
0.217,473.37500
0.267,473.37500
0.318,473.37500
0.369,473.37500
0.419,473.37500
0.470,473.37500
0.521,473.37500
0.571,473.37500
0.622,473.37500
0.673,473.25000
0.723,473.37500
0.774,473.25000
0.824,473.25000
0.875,473.25000
0.926,473.37500
0.976,473.37500
1.027,473.25000
1.078,473.25000
1.128,473.37500
1.179,473.25000
1.229,473.37500
1.280,473.25000
1.331,473.25000
1.381,473.25000
1.432,473.25000
1.483,473.25000
1.534,473.25000
1.584,473.37500
1.635,473.37500
1.686,473.37500
1.736,473.37500
1.787,473.37500
1.838,473.37500
1.888,473.37500
1.939,473.37500
1.990,473.37500
2.041,473.37500
2.091,473.25000
2.142,473.37500
2.193,473.37500
2.243,473.37500
2.294,473.37500
2.345,473.37500
2.396,473.37500
2.446,473.37500
2.497,473.37500
2.548,473.50000
2.598,473.37500
2.649,473.62500
2.700,473.37500
2.750,473.37500
2.801,473.37500
2.852,473.50000
2.903,473.50000
2.953,473.37500
3.004,473.50000
3.054,473.37500
3.105,473.37500
3.156,473.50000
3.206,473.50000
3.257,473.37500
3.308,473.37500
3.358,473.37500
3.409,473.37500
3.460,473.50000
3.510,473.37500
3.561,473.37500
3.612,473.37500
3.662,473.37500
3.713,473.37500
3.763,473.37500
3.814,473.37500
3.865,473.50000
3.915,473.37500
3.966,473.37500
4.017,473.37500
4.067,473.37500
4.118,473.37500
4.169,473.50000
4.219,473.50000
4.270,473.50000
4.321,473.37500
4.371,473.37500
4.422,473.37500
4.472,473.37500
4.523,473.25000
4.574,473.50000
4.624,473.37500
4.675,473.37500
4.726,473.37500
4.776,473.50000
4.827,473.50000
4.878,473.37500
4.928,473.37500
4.979,473.50000
5.030,473.50000
5.080,473.37500
5.131,473.50000
5.182,473.50000
5.232,473.37500
5.283,473.37500
5.334,473.50000
5.384,473.37500
5.435,473.37500
5.485,473.37500
5.536,473.37500
5.587,473.50000
5.637,473.50000
5.688,473.37500
5.739,473.37500
5.789,473.37500
5.840,473.50000
5.891,473.37500
5.941,473.50000
5.992,473.50000
6.043,473.37500
6.093,473.50000
6.144,473.37500
6.194,473.50000
6.245,473.37500
6.296,473.50000
6.346,473.50000
6.397,473.50000
6.448,473.50000
6.498,473.50000
6.549,473.50000
6.600,473.50000
6.650,473.50000
6.701,473.50000
6.752,473.50000
6.802,473.50000
6.853,473.50000
6.903,473.50000
6.954,473.50000
7.005,473.50000
7.055,473.50000
7.106,473.37500
7.157,473.37500
7.207,473.37500
7.258,473.37500
7.309,473.37500
7.359,473.50000
7.410,473.50000
7.460,473.50000
7.511,473.62500
7.562,473.50000
7.612,473.50000
7.663,473.62500
7.714,473.50000
7.764,473.50000
7.815,473.50000
7.866,473.37500
7.916,473.62500
7.967,473.50000
8.018,473.50000
8.068,473.50000
8.119,473.50000
8.169,473.50000
8.220,473.50000
8.271,473.62500
8.321,473.50000
8.372,473.50000
8.423,473.62500
8.473,473.62500
8.524,473.37500
8.575,473.50000
8.625,473.37500
8.676,473.50000
8.727,473.50000
8.777,473.50000
8.828,473.50000
8.878,473.62500
8.929,473.62500
8.980,473.50000
9.030,473.50000
9.081,473.62500
9.132,473.62500
9.182,473.62500
9.233,473.62500
9.284,473.62500
9.334,473.50000
9.385,473.62500
9.435,473.62500
9.486,473.50000
9.537,473.62500
9.587,473.62500
9.638,473.62500
9.689,473.62500
9.739,473.62500
9.790,473.50000
9.841,473.50000
9.891,473.62500
9.942,473.50000
9.993,473.62500
time(s),mvs
0.000,473.75000
0.103,473.75000
0.154,473.75000
0.204,473.87500
0.255,473.75000
0.306,473.75000
0.357,473.62500
0.407,473.62500
0.458,473.62500
0.509,473.62500
0.559,473.62500
0.610,473.62500
0.661,473.62500
0.712,473.62500
0.762,473.75000
0.813,473.62500
0.864,473.62500
0.914,473.62500
0.965,473.75000
1.016,473.75000
1.066,473.75000
1.117,473.62500
1.168,473.75000
1.219,473.62500
1.269,473.62500
1.320,473.62500
1.371,473.75000
1.421,473.62500
1.472,473.62500
1.523,473.62500
1.573,473.75000
1.624,473.75000
1.675,473.75000
1.726,473.87500
1.776,473.62500
1.827,473.75000
1.878,473.62500
1.928,473.62500
1.979,473.62500
2.030,473.62500
2.081,473.75000
2.131,473.75000
2.182,473.75000
2.233,473.75000
2.283,473.75000
2.334,473.75000
2.385,473.75000
2.436,473.62500
2.486,473.75000
2.537,473.75000
2.588,473.75000
2.638,473.75000
2.689,473.75000
2.740,473.87500
2.790,473.87500
2.841,473.75000
2.892,473.87500
2.943,473.87500
2.993,473.87500
3.044,473.87500
3.095,473.87500
3.145,474.00000
3.196,473.87500
3.247,473.87500
3.298,473.87500
3.348,473.87500
3.399,474.00000
3.450,473.75000
3.500,473.87500
3.551,474.00000
3.602,473.75000
3.652,473.87500
3.703,474.00000
3.754,473.87500
3.804,474.00000
3.855,474.00000
3.905,474.00000
3.956,474.00000
4.007,474.00000
4.057,473.87500
4.108,473.87500
4.159,473.87500
4.209,473.87500
4.260,473.87500
4.310,473.87500
4.361,473.87500
4.412,474.00000
4.462,474.00000
4.513,474.00000
4.564,473.87500
4.614,474.00000
4.665,474.00000
4.716,473.87500
4.766,473.87500
4.817,473.87500
4.867,473.87500
4.918,473.87500
4.969,473.87500
5.019,473.87500
5.070,474.00000
5.121,474.00000
5.171,473.87500
5.222,474.00000
5.273,474.00000
5.323,474.00000
5.374,474.00000
5.425,473.87500
5.475,473.87500
5.526,473.87500
5.577,474.00000
5.627,474.00000
5.678,473.87500
5.729,474.00000
5.779,473.87500
5.830,473.87500
5.881,473.87500
5.931,474.00000
5.982,473.87500
6.033,473.87500
6.083,474.00000
6.134,473.87500
6.185,473.87500
6.235,473.87500
6.286,474.00000
6.337,473.87500
6.387,473.87500
6.438,473.87500
6.489,473.87500
6.539,473.87500
6.590,473.87500
6.641,473.87500
6.691,473.87500
6.742,473.87500
6.793,473.87500
6.843,473.87500
6.894,473.75000
6.944,473.87500
6.995,473.87500
7.046,473.87500
7.096,473.87500
7.147,473.87500
7.198,473.87500
7.248,473.87500
7.299,473.87500
7.350,473.87500
7.400,473.87500
7.451,473.87500
7.501,473.87500
7.552,473.87500
7.603,473.87500
7.653,473.87500
7.704,473.87500
7.755,473.87500
7.805,473.87500
7.856,473.87500
7.907,473.87500
7.957,473.87500
8.008,473.87500
8.059,473.87500
8.109,474.00000
8.160,474.00000
8.210,473.87500
8.261,474.00000
8.312,474.00000
8.362,474.00000
8.413,473.87500
8.464,473.87500
8.514,474.00000
8.565,474.00000
8.616,473.87500
8.666,474.00000
8.717,474.00000
8.767,474.00000
8.818,474.00000
8.869,474.00000
8.919,473.87500
8.970,473.87500
9.021,473.87500
9.071,474.12500
9.122,474.12500
9.173,474.12500
9.223,474.00000
9.274,474.12500
