time(s),mvs
0.000,-1483.00000
0.166,465.50000
0.217,464.75000
0.268,470.00000
0.318,470.25000
0.369,467.62500
0.436,466.00000
0.488,467.75000
0.539,475.12500
0.590,477.00000
0.641,476.25000
0.692,477.87500
0.742,476.12500
0.793,476.12500
0.844,475.37500
0.894,472.50000
0.945,477.62500
0.996,486.00000
1.047,485.25000
1.098,485.00000
1.148,479.37500
1.199,484.00000
1.251,489.87500
1.301,486.87500
1.352,485.37500
1.403,481.37500
1.454,481.75000
1.505,479.37500
1.555,483.25000
1.606,487.25000
1.657,484.37500
1.708,484.25000
1.758,482.75000
1.809,481.75000
1.860,484.12500
1.910,484.12500
1.961,485.62500
2.012,481.37500
2.062,480.50000
2.113,479.62500
2.164,478.12500
2.215,479.00000
2.268,477.12500
2.318,475.62500
2.369,473.12500
2.420,483.25000
2.471,501.75000
2.522,492.37500
2.572,488.25000
2.623,488.25000
2.674,492.00000
2.724,490.37500
2.775,487.75000
2.826,487.75000
2.877,488.50000
2.927,489.62500
2.978,490.00000
3.029,489.87500
3.079,488.62500
3.130,488.50000
3.183,487.75000
3.234,486.75000
3.284,486.87500
3.335,485.50000
3.386,485.37500
3.437,485.25000
3.488,484.87500
3.539,484.50000
3.589,485.12500
3.640,484.12500
3.691,483.75000
3.741,483.37500
3.792,483.00000
3.843,482.50000
3.893,482.50000
3.944,482.12500
3.995,480.75000
4.046,480.62500
4.096,479.75000
4.147,480.12500
4.198,478.75000
4.250,479.37500
4.301,479.87500
4.351,478.87500
4.402,478.62500
4.453,479.25000
4.504,478.00000
4.554,477.87500
4.605,478.25000
4.656,477.00000
4.707,476.37500
4.757,476.87500
4.808,475.87500
4.859,477.62500
4.910,476.75000
4.960,476.00000
5.011,476.62500
5.062,477.25000
5.113,477.62500
5.164,476.50000
5.217,477.12500
5.267,477.12500
5.318,477.62500
5.369,477.25000
5.420,478.62500
5.471,477.37500
5.521,477.50000
5.576,477.25000
5.626,477.00000
5.677,478.12500
5.728,476.00000
5.778,479.25000
5.829,478.37500
5.880,478.87500
5.931,478.25000
5.983,478.00000
6.033,475.87500
6.084,477.75000
6.135,477.87500
6.186,479.37500
6.237,478.87500
6.288,480.62500
6.338,478.62500
6.389,483.00000
6.440,482.62500
6.490,481.62500
6.541,485.37500
6.592,484.12500
6.643,481.50000
6.693,489.12500
6.744,491.00000
6.795,487.12500
6.846,488.00000
6.897,488.75000
6.949,489.25000
7.000,485.25000
7.050,485.00000
7.101,485.25000
7.152,486.25000
7.203,483.87500
7.254,484.37500
7.305,484.37500
7.357,485.25000
7.408,484.00000
7.461,482.87500
7.513,483.87500
7.564,484.25000
7.615,483.62500
7.666,483.12500
7.717,482.12500
7.768,480.75000
7.818,481.12500
7.869,480.87500
7.920,481.12500
7.971,480.87500
8.022,479.37500
